miRNA_fam	Total_Count	Total_Percentage	Manakov2022.tsv_Count	Manakov2022.tsv_Percentage	Hejret2023.tsv_Count	Hejret2023.tsv_Percentage	Klimentova2022.tsv_Count	Klimentova2022.tsv_Percentage
mir-128	5281	0.36670300597862693	5266	0.3678142293677241	14	0.19420169232903314	1	0.08196721311475409
mir-425	5138	0.35677334685063156	5129	0.3582451922573219	8	0.11097239561659038	1	0.08196721311475409
mir-185	4742	0.32927582926541354	4713	0.3291888459950786	27	0.37453183520599254	2	0.16393442622950818
mir-186	4513	0.3133744870254769	4487	0.31340342711222524	24	0.3329171868497711	2	0.16393442622950818
mir-454	4453	0.309208196482262	4443	0.3103301597191034	8	0.11097239561659038	2	0.16393442622950818
mir-9	3969	0.27560011943366225	3964	0.27687345332579916	5	0.06935774726036899	0	0.0
mir-455	3958	0.2748362995007395	3946	0.2756162075740675	12	0.16645859342488556	0	0.0
mir-1296	3457	0.24004777346489553	3428	0.23943546871867796	28	0.3884033846580663	1	0.08196721311475409
mir-210	3398	0.23595092109740093	3390	0.2367812832428	5	0.06935774726036899	3	0.24590163934426232
mir-340	3253	0.22588238561796503	3250	0.22700270517377583	2	0.027743098904147594	1	0.08196721311475409
mir-365	3253	0.22588238561796503	3237	0.22609469435308072	13	0.18033014287695937	3	0.24590163934426232
mir-140	3152	0.21886912987022006	3146	0.21973861860821498	5	0.06935774726036899	1	0.08196721311475409
mir-500	3063	0.21268913223111802	3047	0.21282376697369074	16	0.22194479123318075	0	0.0
mir-1271	2864	0.1988709352627888	2862	0.19990207452533737	2	0.027743098904147594	0	0.0
mir-188	2762	0.19178824133932354	2746	0.19179982412528873	15	0.20807324178110698	1	0.08196721311475409
mir-331	2738	0.1901217251220376	2611	0.1823704809873011	127	1.7616867804133722	0	0.0
mir-361	2690	0.1867886926874657	2667	0.1862819122149108	23	0.3190456373976973	0	0.0
mir-182	2629	0.18255296396853063	2625	0.18334833879420354	4	0.05548619780829519	0	0.0
mir-652	2477	0.171998361259053	2464	0.17210297401482572	13	0.18033014287695937	0	0.0
mir-96	2476	0.17192892308333277	2469	0.1724522089458623	6	0.08322929671244278	1	0.08196721311475409
mir-21	2440	0.16942914875740386	2436	0.17014725840102088	4	0.05548619780829519	0	0.0
mir-22	2407	0.16713768895863568	2407	0.16812169580100875	0	0.0	0	0.0
mir-7	2371	0.16463791463270677	2317	0.16183546704235033	28	0.3884033846580663	26	2.1311475409836063
mir-615	2219	0.15408331192322916	2019	0.14102106515257026	199	2.760438340962686	1	0.08196721311475409
mir-1180	2032	0.14109837306354286	2007	0.14018290131808248	22	0.3051740879456235	3	0.24590163934426232
mir-708	1940	0.1347100608972801	1931	0.1348745303663265	8	0.11097239561659038	1	0.08196721311475409
mir-95	1855	0.12880781596105909	1826	0.12754059681455834	29	0.40227493411014015	0	0.0
mir-296	1798	0.12484983994500497	1695	0.1183906416214	102	1.4148980441115273	1	0.08196721311475409
mir-183	1781	0.12366939095776075	1774	0.12390855353177793	6	0.08322929671244278	1	0.08196721311475409
mir-671	1753	0.12172512203759384	1678	0.11720324285587563	70	0.9710084616451657	5	0.4098360655737705
mir-362	1679	0.1165866970342955	1675	0.1169937018972537	3	0.04161464835622139	1	0.08196721311475409
mir-1301	1587	0.11019838486803275	1556	0.10868191053858313	29	0.40227493411014015	2	0.16393442622950818
mir-126	1579	0.10964287946227076	1568	0.10952007437307092	10	0.13871549452073798	1	0.08196721311475409
mir-590	1504	0.1044350162832522	1501	0.10484032629718076	3	0.04161464835622139	0	0.0
mir-194	1351	0.09381097539805434	1348	0.09415373740746147	3	0.04161464835622139	0	0.0
mir-345	1281	0.08895030309763702	1278	0.08926444837294938	3	0.04161464835622139	0	0.0
mir-1277	1277	0.08867255039475604	1234	0.08619118097982749	43	0.5964766264391732	0	0.0
mir-505	1267	0.08797816863755356	1253	0.08751827371776649	13	0.18033014287695937	1	0.08196721311475409
mir-342	1254	0.08707547235319034	1233	0.08612133399362018	21	0.2913025384935497	0	0.0
mir-769	1237	0.08589502336594612	1197	0.08360684249015682	40	0.5548619780829519	0	0.0
mir-149	1224	0.08499232708158291	1190	0.0831179135867056	33	0.4577611319184353	1	0.08196721311475409
mir-450	1154	0.08013165478116559	1150	0.08032403413841298	3	0.04161464835622139	1	0.08196721311475409
mir-548	1146	0.07957614937540361	1106	0.07725076674529109	39	0.5409904286308781	1	0.08196721311475409
mir-132	1041	0.07228514092477763	1040	0.07264086565560826	0	0.0	1	0.08196721311475409
mir-629	942	0.06541076152847312	940	0.0656561670348767	2	0.027743098904147594	0	0.0
mir-542	914	0.0634664926083062	913	0.06377029840727917	1	0.013871549452073797	0	0.0
miR-8485	911	0.06325817808114545	813	0.05678559978654762	29	0.40227493411014015	69	5.655737704918033
mir-625	896	0.062216605445341744	889	0.0620939707383036	4	0.05548619780829519	3	0.24590163934426232
mir-497	889	0.06173053821530001	887	0.061954276765888966	2	0.027743098904147594	0	0.0
miR-378c	791	0.054925596994715754	789	0.055109272117572036	2	0.027743098904147594	0	0.0
mir-192	781	0.05423121523751328	781	0.05455049622791351	0	0.0	0	0.0
mir-935	728	0.05055099192434017	716	0.05001044212443799	10	0.13871549452073798	2	0.16393442622950818
mir-582	694	0.04819009394985175	693	0.04840396144166973	1	0.013871549452073797	0	0.0
mir-550	658	0.045690319623922844	657	0.04588946993820637	1	0.013871549452073797	0	0.0
mir-491	649	0.04506537604244061	643	0.04491161213130395	6	0.08322929671244278	0	0.0
mir-874	639	0.044370994285238136	634	0.04428298925543811	4	0.05548619780829519	1	0.08196721311475409
miR-1269b	588	0.04082964732350551	587	0.041000180903694276	0	0.0	1	0.08196721311475409
mir-551	536	0.03721886218605265	532	0.03715859666229192	4	0.05548619780829519	0	0.0
mir-330	529	0.036732794956010915	516	0.03604104488297487	11	0.15258704397281175	2	0.16393442622950818
mir-124	522	0.03624672772596918	519	0.036250585841596815	3	0.04161464835622139	0	0.0
mir-1246	500	0.03471908786012374	430	0.030034204069145726	66	0.9155222638368706	4	0.32786885245901637
mir-486	483	0.033538638872879535	478	0.03338685940709687	5	0.06935774726036899	0	0.0
mir-940	461	0.03201099900703409	423	0.02954527516569451	38	0.5271188791788043	0	0.0
mir-2110	440	0.03055279731690889	438	0.030592979958804247	2	0.027743098904147594	0	0.0
mir-187	383	0.026594821300854783	383	0.026751395717401892	0	0.0	0	0.0
mir-190	370	0.025692125016491565	367	0.02563384393808484	3	0.04161464835622139	0	0.0
mir-219	355	0.024650552380687855	353	0.02465598613118242	2	0.027743098904147594	0	0.0
mir-8	350	0.024303361502086614	345	0.024097210241523892	5	0.06935774726036899	0	0.0
mir-1303	350	0.024303361502086614	326	0.022770117503584895	23	0.3190456373976973	1	0.08196721311475409
mir-3615	345	0.02395617062348538	344	0.024027363255316576	1	0.013871549452073797	0	0.0
mir-1226	342	0.023747856096324637	298	0.02081440188978006	44	0.610348175891247	0	0.0
mir-346	333	0.02312291251484241	321	0.022420882572548317	12	0.16645859342488556	0	0.0
miR-6873-3p	327	0.022706283460520928	1	6.984698620731564e-05	5	0.06935774726036899	321	26.311475409836067
mir-138	319	0.022150778054758943	317	0.022141494627719055	2	0.027743098904147594	0	0.0
mir-328	304	0.021109205418955234	277	0.01934761517942643	27	0.37453183520599254	0	0.0
mir-760	303	0.021039767243234985	265	0.018509451344938643	37	0.5132473297267305	1	0.08196721311475409
mir-449	295	0.020484261837473004	292	0.020395319972536165	2	0.027743098904147594	1	0.08196721311475409
mir-3200	289	0.02006763278315152	288	0.020115932027706902	1	0.013871549452073797	0	0.0
mir-1285	285	0.019789880080270533	264	0.018439604358731328	20	0.27743098904147595	1	0.08196721311475409
mir-624	257	0.0178456111601036	257	0.01795067545528012	0	0.0	0	0.0
mir-574	241	0.016734600348579643	220	0.01536633696560944	17	0.23581634068525456	4	0.32786885245901637
mir-941	238	0.0165262858214189	231	0.016134653813889913	7	0.09710084616451657	0	0.0
mir-628	232	0.016109656767097413	230	0.016064806827682594	2	0.027743098904147594	0	0.0
mir-375	224	0.015554151361335436	223	0.015575877924231386	1	0.013871549452073797	0	0.0
mir-598	209	0.014512578725531725	209	0.014598020117328967	0	0.0	0	0.0
miR-6720-5p	184	0.012776624332525537	183	0.01278199847593876	0	0.0	1	0.08196721311475409
mir-129	177	0.012290557102483803	174	0.01215337560007292	3	0.04161464835622139	0	0.0
mir-576	176	0.012221118926763556	170	0.011873987655243659	6	0.08322929671244278	0	0.0
mir-597	174	0.01208224257532306	173	0.012083528613865604	1	0.013871549452073797	0	0.0
miR-3611	160	0.011110108115239596	159	0.011105670806963185	1	0.013871549452073797	0	0.0
miR-3187-3p	158	0.010971231763799102	150	0.010477047931097345	7	0.09710084616451657	1	0.08196721311475409
miR-9985	154	0.010693479060918111	154	0.010756435875926607	0	0.0	0	0.0
mir-326	149	0.010346288182316874	140	0.009778578069024189	9	0.12484394506866417	0	0.0
miR-3176	147	0.010207411830876378	142	0.00991827204143882	5	0.06935774726036899	0	0.0
mir-4776	147	0.010207411830876378	2	0.00013969397241463127	145	2.0113746705507007	0	0.0
mir-877	146	0.01013797365515613	93	0.006495769717280354	53	0.7351921209599113	0	0.0
mir-942	143	0.009929659127995389	142	0.00991827204143882	1	0.013871549452073797	0	0.0
mir-589	130	0.009026962843632172	122	0.008521332317292508	2	0.027743098904147594	6	0.49180327868852464
miR-378f	127	0.008818648316471429	126	0.00880072026212177	1	0.013871549452073797	0	0.0
mir-153	125	0.008679771965030935	125	0.008730873275914455	0	0.0	0	0.0
mir-1306	123	0.00854089561359044	113	0.007892709441426667	10	0.13871549452073798	0	0.0
miR-3157-5p	119	0.00826314291070945	117	0.00817209738625593	2	0.027743098904147594	0	0.0
mir-556	116	0.008054828383548707	114	0.007962556427633981	2	0.027743098904147594	0	0.0
miR-7706	114	0.007915952032108212	109	0.007613321496597404	3	0.04161464835622139	2	0.16393442622950818
mir-641	109	0.007568761153506975	109	0.007613321496597404	0	0.0	0	0.0
miR-2277-3p	106	0.007360446626346232	105	0.007333933551768141	1	0.013871549452073797	0	0.0
mir-3158	104	0.007221570274905738	104	0.007264086565560825	0	0.0	0	0.0
mir-627	101	0.007013255747744996	100	0.0069846986207315635	1	0.013871549452073797	0	0.0
miR-1273h-5p	101	0.007013255747744996	91	0.006356075744865723	10	0.13871549452073798	0	0.0
mir-1292	98	0.006804941220584252	94	0.006565616703487669	4	0.05548619780829519	0	0.0
mir-1343	96	0.006666064869143758	89	0.006216381772451092	7	0.09710084616451657	0	0.0
miR-5001-3p	96	0.006666064869143758	96	0.0067053106759023	0	0.0	0	0.0
miR-3177-3p	87	0.00604112128766153	85	0.005936993827621829	2	0.027743098904147594	0	0.0
miR-4664-5p	84	0.0058328067605007885	80	0.0055877588965852504	4	0.05548619780829519	0	0.0
mir-561	83	0.0057633685847805404	83	0.005797299855207197	0	0.0	0	0.0
mir-199	80	0.005555054057619798	79	0.005517911910377935	1	0.013871549452073797	0	0.0
miR-4467	79	0.005485615881899551	78	0.005448064924170619	1	0.013871549452073797	0	0.0
miR-3657	77	0.005346739530459056	77	0.005378217937963304	0	0.0	0	0.0
mir-338	72	0.004999548651857818	65	0.004540054103475516	7	0.09710084616451657	0	0.0
miR-3195	72	0.004999548651857818	70	0.004889289034512094	2	0.027743098904147594	0	0.0
mir-618	71	0.004930110476137571	71	0.00495913602071941	0	0.0	0	0.0
mir-1304	71	0.004930110476137571	69	0.004819442048304779	2	0.027743098904147594	0	0.0
miR-5010-3p	71	0.004930110476137571	69	0.004819442048304779	2	0.027743098904147594	0	0.0
miR-4497	71	0.004930110476137571	67	0.0046797480758901475	4	0.05548619780829519	0	0.0
ocu-miR-103a-5p	71	0.004930110476137571	71	0.00495913602071941	0	0.0	0	0.0
miR-6734-3p	70	0.004860672300417324	2	0.00013969397241463127	1	0.013871549452073797	67	5.491803278688525
miR-2277-5p	68	0.0047217959489768285	67	0.0046797480758901475	1	0.013871549452073797	0	0.0
miR-4473	68	0.0047217959489768285	66	0.004609901089682832	2	0.027743098904147594	0	0.0
mir-577	67	0.004652357773256581	66	0.004609901089682832	1	0.013871549452073797	0	0.0
mir-506	63	0.004374605070375591	46	0.0032129613655365193	14	0.19420169232903314	3	0.24590163934426232
miR-3909	63	0.004374605070375591	62	0.004330513144853569	1	0.013871549452073797	0	0.0
mir-139	62	0.004305166894655344	60	0.004190819172438938	2	0.027743098904147594	0	0.0
mir-4677	61	0.004235728718935097	60	0.004190819172438938	0	0.0	1	0.08196721311475409
mir-1910	61	0.004235728718935097	58	0.004051125200024307	3	0.04161464835622139	0	0.0
miR-5585-3p	60	0.0041662905432148485	44	0.0030732673931218877	15	0.20807324178110698	1	0.08196721311475409
mir-2278	60	0.0041662905432148485	59	0.004120972186231623	1	0.013871549452073797	0	0.0
miR-6728-3p	56	0.003888537840333859	17	0.0011873987655243658	5	0.06935774726036899	34	2.7868852459016393
mir-605	55	0.0038190996646136114	53	0.0037018902689877286	2	0.027743098904147594	0	0.0
miR-6747-3p	55	0.0038190996646136114	54	0.003771737255195044	1	0.013871549452073797	0	0.0
miR-4713-5p	54	0.0037496614888933633	53	0.0037018902689877286	1	0.013871549452073797	0	0.0
mir-619	54	0.0037496614888933633	40	0.0027938794482926252	13	0.18033014287695937	1	0.08196721311475409
mir-3130	53	0.003680223313173116	52	0.0036320432827804125	1	0.013871549452073797	0	0.0
mir-1295	52	0.003610785137452869	52	0.0036320432827804125	0	0.0	0	0.0
mir-142	51	0.0035413469617326214	50	0.0034923493103657817	1	0.013871549452073797	0	0.0
mir-3074	48	0.003333032434571879	48	0.00335265533795115	0	0.0	0	0.0
miR-5699-3p	47	0.0032635942588516314	46	0.0032129613655365193	1	0.013871549452073797	0	0.0
mir-636	45	0.003124717907411136	42	0.0029335734207072564	3	0.04161464835622139	0	0.0
mir-1915	45	0.003124717907411136	35	0.002444644517256047	10	0.13871549452073798	0	0.0
mir-1299	45	0.003124717907411136	43	0.003003420406914572	2	0.027743098904147594	0	0.0
miR-3928-3p	45	0.003124717907411136	44	0.0030732673931218877	1	0.013871549452073797	0	0.0
mir-4429	44	0.003055279731690889	41	0.002863726434499941	3	0.04161464835622139	0	0.0
miR-9901	44	0.003055279731690889	40	0.0027938794482926252	4	0.05548619780829519	0	0.0
miR-7851-3p	42	0.0029164033802503942	40	0.0027938794482926252	1	0.013871549452073797	1	0.08196721311475409
miR-3944-3p	42	0.0029164033802503942	37	0.0025843384896706784	5	0.06935774726036899	0	0.0
mir-1305	41	0.0028469652045301466	41	0.002863726434499941	0	0.0	0	0.0
mir-515	41	0.0028469652045301466	22	0.0015366336965609438	18	0.24968789013732834	1	0.08196721311475409
miR-3619-5p	41	0.0028469652045301466	37	0.0025843384896706784	4	0.05548619780829519	0	0.0
mir-766	41	0.0028469652045301466	32	0.0022351035586341004	9	0.12484394506866417	0	0.0
mir-3173	40	0.002777527028809899	39	0.0027240324620853096	1	0.013871549452073797	0	0.0
miR-10527-5p	40	0.002777527028809899	31	0.0021652565724267843	9	0.12484394506866417	0	0.0
mir-3064	40	0.002777527028809899	38	0.0026541854758779944	2	0.027743098904147594	0	0.0
mir-1297	40	0.002777527028809899	40	0.0027938794482926252	0	0.0	0	0.0
mir-1909	40	0.002777527028809899	34	0.0023747975310487316	4	0.05548619780829519	2	0.16393442622950818
mir-3127	39	0.0027080888530896514	39	0.0027240324620853096	0	0.0	0	0.0
mir-197	39	0.0027080888530896514	13	0.0009080108206951031	26	0.36066028575391873	0	0.0
miR-3679-5p	39	0.0027080888530896514	39	0.0027240324620853096	0	0.0	0	0.0
mir-6511	36	0.002499774325928909	28	0.001955715613804838	8	0.11097239561659038	0	0.0
miR-4306	36	0.002499774325928909	35	0.002444644517256047	1	0.013871549452073797	0	0.0
mir-147	35	0.002430336150208662	35	0.002444644517256047	0	0.0	0	0.0
miR-4326	34	0.0023608979744884143	29	0.0020255626000121535	1	0.013871549452073797	4	0.32786885245901637
mir-1914	34	0.0023608979744884143	27	0.001885868627597522	7	0.09710084616451657	0	0.0
mir-3065	34	0.0023608979744884143	32	0.0022351035586341004	2	0.027743098904147594	0	0.0
mir-3940	34	0.0023608979744884143	33	0.002304950544841416	1	0.013871549452073797	0	0.0
miR-4443	33	0.0022914597987681667	7	0.0004889289034512095	26	0.36066028575391873	0	0.0
miR-6799-3p	33	0.0022914597987681667	32	0.0022351035586341004	1	0.013871549452073797	0	0.0
mir-4421	33	0.0022914597987681667	30	0.002095409586219469	3	0.04161464835622139	0	0.0
mir-2355	33	0.0022914597987681667	33	0.002304950544841416	0	0.0	0	0.0
miR-4786-3p	31	0.002152583447327672	31	0.0021652565724267843	0	0.0	0	0.0
mir-663	31	0.002152583447327672	29	0.0020255626000121535	2	0.027743098904147594	0	0.0
miR-4474-3p	30	0.0020831452716074243	30	0.002095409586219469	0	0.0	0	0.0
mir-1262	30	0.0020831452716074243	28	0.001955715613804838	2	0.027743098904147594	0	0.0
miR-5699-5p	29	0.0020137070958871767	28	0.001955715613804838	1	0.013871549452073797	0	0.0
mir-4523	28	0.0019442689201669295	28	0.001955715613804838	0	0.0	0	0.0
mir-1972	28	0.0019442689201669295	21	0.0014667867103536282	7	0.09710084616451657	0	0.0
mir-1287	28	0.0019442689201669295	23	0.0016064806827682597	5	0.06935774726036899	0	0.0
miR-3194-5p	28	0.0019442689201669295	25	0.0017461746551828909	3	0.04161464835622139	0	0.0
miR-4785	27	0.0018748307444466817	27	0.001885868627597522	0	0.0	0	0.0
mir-216	27	0.0018748307444466817	26	0.0018160216413902063	1	0.013871549452073797	0	0.0
miR-3609	27	0.0018748307444466817	26	0.0018160216413902063	1	0.013871549452073797	0	0.0
miR-4644	27	0.0018748307444466817	3	0.00020954095862194688	1	0.013871549452073797	23	1.8852459016393444
mir-1227	25	0.0017359543930061871	18	0.0012572457517316814	7	0.09710084616451657	0	0.0
mir-1537	25	0.0017359543930061871	25	0.0017461746551828909	0	0.0	0	0.0
miR-6515-3p	25	0.0017359543930061871	25	0.0017461746551828909	0	0.0	0	0.0
mir-4423	25	0.0017359543930061871	23	0.0016064806827682597	1	0.013871549452073797	1	0.08196721311475409
mir-154	25	0.0017359543930061871	12	0.0008381638344877875	12	0.16645859342488556	1	0.08196721311475409
mir-204	25	0.0017359543930061871	22	0.0015366336965609438	3	0.04161464835622139	0	0.0
miR-3144-3p	24	0.0016665162172859395	24	0.001676327668975575	0	0.0	0	0.0
mir-1276	24	0.0016665162172859395	23	0.0016064806827682597	1	0.013871549452073797	0	0.0
mir-5583	24	0.0016665162172859395	23	0.0016064806827682597	1	0.013871549452073797	0	0.0
miR-6820-5p	24	0.0016665162172859395	24	0.001676327668975575	0	0.0	0	0.0
mir-135	24	0.0016665162172859395	24	0.001676327668975575	0	0.0	0	0.0
mir-1250	24	0.0016665162172859395	21	0.0014667867103536282	3	0.04161464835622139	0	0.0
miR-4778-3p	24	0.0016665162172859395	23	0.0016064806827682597	0	0.0	1	0.08196721311475409
miR-3115	23	0.0015970780415656921	19	0.0013270927379389972	0	0.0	4	0.32786885245901637
mir-933	23	0.0015970780415656921	23	0.0016064806827682597	0	0.0	0	0.0
miR-5582-3p	22	0.0015276398658454445	22	0.0015366336965609438	0	0.0	0	0.0
miR-5682	22	0.0015276398658454445	22	0.0015366336965609438	0	0.0	0	0.0
mir-1247	22	0.0015276398658454445	20	0.0013969397241463126	2	0.027743098904147594	0	0.0
miR-4721	21	0.0014582016901251971	17	0.0011873987655243658	4	0.05548619780829519	0	0.0
miR-3691-5p	21	0.0014582016901251971	21	0.0014667867103536282	0	0.0	0	0.0
miR-3177-5p	21	0.0014582016901251971	19	0.0013270927379389972	1	0.013871549452073797	1	0.08196721311475409
mir-4742	21	0.0014582016901251971	21	0.0014667867103536282	0	0.0	0	0.0
mir-1255	21	0.0014582016901251971	17	0.0011873987655243658	3	0.04161464835622139	1	0.08196721311475409
mir-4680	21	0.0014582016901251971	16	0.0011175517793170502	5	0.06935774726036899	0	0.0
miR-4440	21	0.0014582016901251971	20	0.0013969397241463126	1	0.013871549452073797	0	0.0
miR-6807-3p	21	0.0014582016901251971	16	0.0011175517793170502	5	0.06935774726036899	0	0.0
mir-676	21	0.0014582016901251971	20	0.0013969397241463126	1	0.013871549452073797	0	0.0
mir-3126	20	0.0013887635144049495	20	0.0013969397241463126	0	0.0	0	0.0
miR-3911	20	0.0013887635144049495	20	0.0013969397241463126	0	0.0	0	0.0
mir-3174	20	0.0013887635144049495	19	0.0013270927379389972	1	0.013871549452073797	0	0.0
miR-3085-3p	20	0.0013887635144049495	20	0.0013969397241463126	0	0.0	0	0.0
mir-105	20	0.0013887635144049495	20	0.0013969397241463126	0	0.0	0	0.0
miR-4689	20	0.0013887635144049495	20	0.0013969397241463126	0	0.0	0	0.0
miR-7705	20	0.0013887635144049495	13	0.0009080108206951031	6	0.08322929671244278	1	0.08196721311475409
mir-3136	20	0.0013887635144049495	19	0.0013270927379389972	0	0.0	1	0.08196721311475409
miR-6820-3p	19	0.0013193253386847021	19	0.0013270927379389972	0	0.0	0	0.0
miR-3677-5p	19	0.0013193253386847021	18	0.0012572457517316814	1	0.013871549452073797	0	0.0
mir-1278	19	0.0013193253386847021	19	0.0013270927379389972	0	0.0	0	0.0
miR-3131	19	0.0013193253386847021	17	0.0011873987655243658	2	0.027743098904147594	0	0.0
miR-6742-3p	19	0.0013193253386847021	17	0.0011873987655243658	2	0.027743098904147594	0	0.0
mir-1256	19	0.0013193253386847021	19	0.0013270927379389972	0	0.0	0	0.0
miR-5088-3p	19	0.0013193253386847021	17	0.0011873987655243658	2	0.027743098904147594	0	0.0
miR-5010-5p	19	0.0013193253386847021	19	0.0013270927379389972	0	0.0	0	0.0
mir-297	19	0.0013193253386847021	16	0.0011175517793170502	1	0.013871549452073797	2	0.16393442622950818
miR-4761-5p	18	0.0012498871629644545	18	0.0012572457517316814	0	0.0	0	0.0
miR-6807-5p	18	0.0012498871629644545	10	0.0006984698620731563	8	0.11097239561659038	0	0.0
miR-10394-5p	18	0.0012498871629644545	18	0.0012572457517316814	0	0.0	0	0.0
mir-133	18	0.0012498871629644545	17	0.0011873987655243658	1	0.013871549452073797	0	0.0
mir-1244	18	0.0012498871629644545	10	0.0006984698620731563	8	0.11097239561659038	0	0.0
miR-9903	18	0.0012498871629644545	18	0.0012572457517316814	0	0.0	0	0.0
miR-6751-3p	18	0.0012498871629644545	11	0.0007683168482804719	3	0.04161464835622139	4	0.32786885245901637
miR-6501-3p	18	0.0012498871629644545	17	0.0011873987655243658	1	0.013871549452073797	0	0.0
miR-3944-5p	17	0.0011804489872442071	17	0.0011873987655243658	0	0.0	0	0.0
miR-6501-5p	17	0.0011804489872442071	14	0.000977857806902419	3	0.04161464835622139	0	0.0
mir-3150	17	0.0011804489872442071	17	0.0011873987655243658	0	0.0	0	0.0
miR-6835-3p	17	0.0011804489872442071	16	0.0011175517793170502	1	0.013871549452073797	0	0.0
mir-483	17	0.0011804489872442071	11	0.0007683168482804719	5	0.06935774726036899	1	0.08196721311475409
miR-378g	17	0.0011804489872442071	17	0.0011873987655243658	0	0.0	0	0.0
mir-643	17	0.0011804489872442071	17	0.0011873987655243658	0	0.0	0	0.0
mir-2114	17	0.0011804489872442071	17	0.0011873987655243658	0	0.0	0	0.0
miR-4289	16	0.0011110108115239595	15	0.0010477047931097346	1	0.013871549452073797	0	0.0
mir-3179	16	0.0011110108115239595	14	0.000977857806902419	2	0.027743098904147594	0	0.0
mir-198	16	0.0011110108115239595	14	0.000977857806902419	2	0.027743098904147594	0	0.0
miR-378i	16	0.0011110108115239595	16	0.0011175517793170502	0	0.0	0	0.0
mir-4657	16	0.0011110108115239595	13	0.0009080108206951031	3	0.04161464835622139	0	0.0
miR-10393-5p	16	0.0011110108115239595	11	0.0007683168482804719	5	0.06935774726036899	0	0.0
