miRNA Family	Manakov2022	Hejret2023	Klimentova2022
mir-199	79	1	0
miR-4467	78	1	0
miR-3657	77	0	0
mir-338	65	7	0
miR-3195	70	2	0
mir-1304	69	2	0
miR-4497	67	4	0
miR-5010-3p	69	2	0
mir-618	71	0	0
ocu-miR-103a-5p	71	0	0
miR-6734-3p	2	1	67
miR-2277-5p	67	1	0
miR-4473	66	2	0
mir-577	66	1	0
miR-3909	62	1	0
mir-506	46	14	3
mir-139	60	2	0
mir-4677	60	0	1
mir-1910	58	3	0
mir-2278	59	1	0
miR-5585-3p	44	15	1
miR-6728-3p	17	5	34
mir-605	53	2	0
miR-6747-3p	54	1	0
miR-4713-5p	53	1	0
mir-619	40	13	1
mir-3130	52	1	0
mir-1295	52	0	0
mir-142	50	1	0
mir-3074	48	0	0
miR-5699-3p	46	1	0
mir-636	42	3	0
miR-3928-3p	44	1	0
mir-1299	43	2	0
mir-1915	35	10	0
mir-4429	41	3	0
miR-9901	40	4	0
miR-7851-3p	40	1	1
miR-3944-3p	37	5	0
miR-3619-5p	37	4	0
mir-515	22	18	1
mir-1305	41	0	0
mir-766	32	9	0
mir-1297	40	0	0
mir-3173	39	1	0
miR-10527-5p	31	9	0
mir-3064	38	2	0
mir-1909	34	4	2
miR-3679-5p	39	0	0
mir-3127	39	0	0
mir-197	13	26	0
miR-4306	35	1	0
mir-6511	28	8	0
mir-147	35	0	0
mir-3065	32	2	0
mir-3940	33	1	0
miR-4326	29	1	4
mir-1914	27	7	0
mir-2355	33	0	0
miR-4443	7	26	0
miR-6799-3p	32	1	0
mir-4421	30	3	0
miR-4786-3p	31	0	0
mir-663	29	2	0
miR-4474-3p	30	0	0
mir-1262	28	2	0
miR-5699-5p	28	1	0
mir-1287	23	5	0
mir-4523	28	0	0
miR-3194-5p	25	3	0
mir-1972	21	7	0
miR-3609	26	1	0
miR-4644	3	1	23
mir-216	26	1	0
miR-4785	27	0	0
mir-1537	25	0	0
mir-204	22	3	0
miR-6515-3p	25	0	0
mir-1227	18	7	0
mir-4423	23	1	1
mir-154	12	12	1
mir-1276	23	1	0
mir-5583	23	1	0
miR-3144-3p	24	0	0
mir-135	24	0	0
miR-4778-3p	23	0	1
miR-6820-5p	24	0	0
mir-1250	21	3	0
mir-933	23	0	0
miR-3115	19	0	4
miR-5582-3p	22	0	0
miR-5682	22	0	0
mir-1247	20	2	0
miR-4440	20	1	0
miR-3177-5p	19	1	1
mir-4742	21	0	0
miR-6807-3p	16	5	0
mir-4680	16	5	0
miR-3691-5p	21	0	0
mir-676	20	1	0
miR-4721	17	4	0
mir-1255	17	3	1
miR-4689	20	0	0
miR-3911	20	0	0
miR-3085-3p	20	0	0
mir-105	20	0	0
mir-3126	20	0	0
mir-3174	19	1	0
miR-7705	13	6	1
mir-3136	19	0	1
mir-1278	19	0	0
mir-297	16	1	2
miR-3677-5p	18	1	0
miR-5010-5p	19	0	0
miR-6742-3p	17	2	0
miR-3131	17	2	0
miR-5088-3p	17	2	0
miR-6820-3p	19	0	0
mir-1256	19	0	0
miR-6807-5p	10	8	0
miR-10394-5p	18	0	0
mir-133	17	1	0
miR-4761-5p	18	0	0
miR-9903	18	0	0
mir-1244	10	8	0
miR-6501-3p	17	1	0
miR-6751-3p	11	3	4
miR-6835-3p	16	1	0
mir-2114	17	0	0
mir-3150	17	0	0
mir-483	11	5	1
mir-643	17	0	0
miR-3944-5p	17	0	0
miR-378g	17	0	0
miR-6501-5p	14	3	0
mir-3179	14	2	0
mir-4657	13	3	0
miR-10393-5p	11	5	0
miR-4289	15	1	0
mir-198	14	2	0
miR-378i	16	0	0
miR-3659	14	1	0
mir-1284	14	1	0
miR-7976	15	0	0
mir-3180	13	2	0
mir-642	14	1	0
miR-3663-3p	15	0	0
mir-224	10	3	1
miR-6876-5p	12	2	0
mir-499	14	0	0
miR-6894-3p	14	0	0
mir-616	13	1	0
mir-3145	6	8	0
mir-3605	12	1	0
miR-4778-5p	12	1	0
mir-592	13	0	0
miR-6893-3p	12	1	0
mir-1	11	2	0
miR-585-3p	13	0	0
mir-4449	7	4	2
miR-4517	13	0	0
miR-10395-5p	13	0	0
miR-6871-3p	12	1	0
mir-1252	7	6	0
mir-665	12	1	0
miR-2467-5p	13	0	0
mir-3661	13	0	0
mir-4446	13	0	0
mir-651	10	3	0
mir-743	9	3	0
miR-548o-3p	12	0	0
mir-939	12	0	0
mir-891	12	0	0
miR-6830-3p	2	0	10
miR-5581-3p	12	0	0
mir-675	11	1	0
mir-3149	8	3	1
miR-5684	2	10	0
miR-6816-3p	10	1	1
mir-1233	10	2	0
mir-1236	6	6	0
miR-4500	11	1	0
miR-4746-5p	11	1	0
miR-3658	9	3	0
mir-632	11	1	0
mir-653	11	0	0
mir-4444	10	1	0
miR-5008-5p	10	1	0
miR-7113-5p	9	1	1
miR-4747-3p	10	1	0
miR-7111-5p	9	2	0
miR-196a-1-3p	11	0	0
miR-6735-5p	10	1	0
miR-6833-3p	7	2	2
miR-3654	11	0	0
mir-4766	11	0	0
miR-6758-5p	10	1	0
miR-4787-3p	10	1	0
miR-7112-3p	9	2	0
miR-4254	11	0	0
miR-4521	1	10	0
mir-767	11	0	0
miR-5047	10	0	0
mir-1286	9	1	0
mir-3943	10	0	0
mir-203	5	4	1
miR-6885-3p	10	0	0
mir-3192	9	1	0
miR-2276-3p	9	1	0
miR-4652-3p	10	0	0
miR-10399-3p	8	2	0
mir-3648	7	3	0
mir-214	10	0	0
mir-580	7	3	0
miR-4749-5p	8	2	0
miR-4325	10	0	0
miR-4685-3p	9	1	0
miR-6783-3p	10	0	0
mir-6827	7	3	0
miR-4720-3p	9	1	0
miR-6720-3p	9	1	0
mir-887	9	1	0
miR-6856-5p	10	0	0
miR-4747-5p	10	0	0
mir-4716	8	2	0
mir-145	7	3	0
miR-3616-3p	8	1	0
miR-5587-5p	9	0	0
miR-4512	9	0	0
miR-6815-5p	9	0	0
mir-1290	1	8	0
miR-4730	9	0	0
miR-3125	7	2	0
mir-3934	8	0	1
miR-6769a-5p	9	0	0
mir-302	4	5	0
miR-6879-3p	8	1	0
miR-7111-3p	0	9	0
miR-6721-5p	7	2	0
miR-4800-5p	9	0	0
miR-4647	9	0	0
miR-5703	9	0	0
miR-6515-5p	8	1	0
mir-3188	7	2	0
mir-3138	8	0	0
miR-10226	8	0	0
mir-6505	6	1	1
miR-6780b-3p	7	1	0
miR-3164	7	1	0
miR-4783-3p	8	0	0
miR-6877-5p	8	0	0
mir-943	8	0	0
miR-4676-3p	7	1	0
mir-451	7	1	0
mir-639	7	1	0
miR-3691-3p	7	1	0
miR-4786-5p	7	1	0
miR-6882-3p	7	1	0
miR-4661-5p	7	1	0
mir-1468	8	0	0
miR-5586-5p	7	1	0
mir-4738	5	3	0
miR-6857-3p	7	1	0
miR-6726-3p	8	0	0
miR-6748-3p	8	0	0
miR-6741-3p	7	0	1
mir-1538	7	1	0
miR-3194-3p	6	0	2
mir-1182	7	1	0
mir-3912	8	0	0
mir-143	4	4	0
miR-4720-5p	6	2	0
miR-4726-5p	8	0	0
miR-5579-5p	7	1	0
miR-10393-3p	6	2	0
miR-3157-3p	7	1	0
miR-6849-3p	6	2	0
miR-3614-3p	5	2	1
miR-3917	6	2	0
miR-6509-3p	7	1	0
miR-6840-5p	7	1	0
miR-4724-5p	8	0	0
miR-3059-5p	4	3	0
mir-146	2	5	0
mir-5681	6	1	0
miR-4761-3p	6	1	0
miR-5683	5	2	0
mir-647	7	0	0
miR-4655-5p	7	0	0
mir-1243	7	0	0
miR-3163	6	1	0
miR-4324	7	0	0
miR-5591-3p	7	0	0
miR-6802-3p	5	2	0
miR-6847-5p	7	0	0
miR-659-3p	6	1	0
mir-3160	6	1	0
miR-4426	6	1	0
mir-649	6	1	0
miR-4664-3p	7	0	0
miR-6804-5p	7	0	0
miR-3916	4	3	0
mir-1249	0	7	0
miR-4709-3p	6	1	0
miR-10399-5p	6	1	0
mir-4662	1	6	0
miR-4737	7	0	0
mir-4659	6	1	0
mir-6859	6	1	0
mir-1288	7	0	0
mir-1238	3	1	3
miR-7109-5p	7	0	0
mir-631	5	2	0
miR-5000-5p	7	0	0
miR-4755-5p	6	1	0
miR-5587-3p	7	0	0
miR-10394-3p	5	1	1
miR-7854-3p	6	0	0
mir-1322	4	2	0
miR-4288	6	0	0
miR-6076	0	5	1
mir-3198	4	1	1
mir-1293	6	0	0
miR-6735-3p	5	1	0
miR-6834-5p	2	4	0
miR-6883-3p	4	2	0
mir-144	6	0	0
miR-4483	1	5	0
miR-6889-3p	5	1	0
miR-4723-5p	5	1	0
mir-544	2	4	0
miR-7161-3p	4	2	0
miR-6758-3p	4	2	0
mir-4660	3	3	0
mir-602	6	0	0
mir-3680	5	1	0
miR-6826-5p	4	2	0
miR-12131	5	1	0
miR-3161	5	1	0
miR-6808-3p	6	0	0
mir-4667	5	0	1
miR-6768-5p	5	1	0
miR-5009-5p	4	2	0
miR-6759-5p	6	0	0
mir-584	3	3	0
miR-5586-3p	5	0	1
mir-489	6	0	0
miR-6882-5p	5	1	0
miR-4697-5p	6	0	0
miR-6885-5p	6	0	0
miR-6878-3p	5	0	1
miR-4709-5p	6	0	0
mir-588	6	0	0
mir-493	5	1	0
miR-5584-5p	6	0	0
miR-6762-5p	5	1	0
mir-5697	4	2	0
miR-3679-3p	6	0	0
mir-593	4	1	1
miR-5001-5p	5	1	0
miR-5004-3p	6	0	0
miR-6865-5p	5	0	0
miR-6825-5p	5	0	0
miR-6783-5p	5	0	0
miR-1321	3	2	0
miR-4717-3p	5	0	0
ami-miR-217-3p	4	1	0
miR-3915	0	5	0
miR-3614-5p	5	0	0
mir-3618	4	1	0
miR-7110-3p	4	0	1
miR-6506-5p	4	1	0
miR-6871-5p	5	0	0
miR-6781-3p	5	0	0
miR-4277	5	0	0
mir-4526	4	1	0
miR-7158-5p	1	3	1
miR-6740-5p	4	0	1
mir-3190	5	0	0
miR-6750-5p	5	0	0
miR-6514-5p	5	0	0
miR-10400-5p	5	0	0
mir-3155	4	1	0
mir-1202	4	1	0
miR-6873-5p	4	1	0
miR-6842-3p	2	3	0
miR-9900	5	0	0
miR-5585-5p	5	0	0
mir-3116	4	1	0
mir-572	4	1	0
miR-3939	5	0	0
miR-4751	3	2	0
miR-4688	3	2	0
miR-4468	4	1	0
mir-630	4	1	0
mir-1273c	4	0	1
miR-5580-3p	5	0	0
miR-4700-5p	5	0	0
nle-miR-4714	5	0	0
miR-4450	2	3	0
miR-6889-5p	5	0	0
miR-4725-5p	4	1	0
miR-4746-3p	5	0	0
mir-1225	3	2	0
miR-5006-3p	4	1	0
miR-6765-3p	3	2	0
mir-6770	3	2	0
mir-657	2	3	0
miR-4455	0	4	1
miR-6769a-3p	3	0	2
mir-4436	5	0	0
mir-876	3	2	0
mir-6862	4	1	0
miR-2467-3p	4	1	0
miR-3677-3p	5	0	0
miR-4731-5p	5	0	0
mir-4484	4	1	0
miR-6809-3p	4	0	1
miR-6851-5p	5	0	0
miR-6895-3p	5	0	0
miR-4646-3p	4	1	0
miR-6780a-5p	4	1	0
miR-4502	3	1	1
miR-6890-3p	5	0	0
mir-490	3	2	0
mir-3140	5	0	0
miR-4690-3p	5	0	0
miR-3139	5	0	0
miR-6837-3p	5	0	0
mir-3202	5	0	0
miR-6864-5p	3	1	0
miR-4732-3p	1	2	1
miR-6875-3p	4	0	0
mir-1204	3	1	0
mir-1908	0	4	0
miR-6818-5p	4	0	0
miR-6775-3p	4	0	0
miR-6843-3p	4	0	0
miR-6838-3p	4	0	0
miR-4695-3p	3	1	0
miR-6840-3p	4	0	0
miR-7156-5p	4	0	0
miR-4668-5p	0	4	0
miR-4533	4	0	0
mir-3938	2	2	0
miR-3144-5p	3	1	0
mir-610	3	1	0
mir-1260b	0	4	0
mir-3670	1	2	1
miR-4312	3	1	0
mir-23c	3	1	0
mir-3688	2	2	0
mir-937	4	0	0
miR-5584-3p	4	0	0
miR-4291	4	0	0
mir-202	2	2	0
mir-3199	3	1	0
miR-3189-5p	4	0	0
miR-6512-5p	3	1	0
miR-6832-5p	2	1	1
mir-1260a	0	4	0
mir-922	3	1	0
miR-4728-3p	3	1	0
miR-6800-5p	3	1	0
miR-6855-5p	4	0	0
miR-548bc	4	0	0
miR-6737-3p	4	0	0
miR-6829-5p	3	0	1
miR-3682-3p	4	0	0
miR-4649-3p	3	0	1
miR-2681-5p	3	1	0
miR-6851-3p	4	0	0
mir-1294	4	0	0
miR-10397-3p	4	0	0
miR-4789-3p	4	0	0
miR-6761-3p	0	0	4
miR-6759-3p	3	1	0
miR-7152-5p	3	1	0
miR-3942-5p	3	1	0
miR-4793-3p	4	0	0
miR-4779	4	0	0
miR-3936	3	1	0
mir-368	1	3	0
mir-612	2	0	2
miR-4321	4	0	0
mir-3622	3	1	0
mir-223	2	2	0
miR-6767-3p	1	0	3
cli-miR-137a-5p	0	4	0
mir-1179	2	2	0
miR-4700-3p	4	0	0
miR-5581-5p	1	3	0
miR-6818-3p	4	0	0
miR-3184-5p	4	0	0
miR-3143	4	0	0
miR-4501	3	1	0
miR-6733-3p	3	1	0
mir-1266	3	1	0
miR-5193	0	4	0
miR-3175	3	1	0
miR-4714-3p	4	0	0
miR-4474-5p	4	0	0
miR-5094	4	0	0
miR-6738-3p	2	2	0
miR-12127	4	0	0
mir-1272	3	1	0
miR-3169	3	0	1
miR-4652-5p	4	0	0
miR-6806-3p	3	1	0
miR-1229-3p	0	4	0
miR-7703	4	0	0
miR-4799-5p	3	1	0
miR-4683	3	1	0
miR-10400-3p	3	0	1
miR-4793-5p	4	0	0
mir-298	3	1	0
miR-4525	2	1	0
miR-3663-5p	3	0	0
miR-7160-5p	1	1	1
miR-4697-3p	2	1	0
miR-101-2-5p	3	0	0
mir-4672	3	0	0
miR-1273h-3p	3	0	0
miR-4726-3p	3	0	0
mir-3664	3	0	0
miR-4471	3	0	0
miR-10526-3p	0	3	0
miR-5189-5p	2	1	0
mir-4798	1	2	0
miR-6811-3p	2	0	1
mir-591	1	2	0
miR-147b-5p	1	2	0
mir-150	3	0	0
miR-6726-5p	3	0	0
miR-3922-5p	3	0	0
miR-6753-5p	3	0	0
mir-4315	3	0	0
miR-6884-5p	1	1	1
miR-10524-5p	3	0	0
miR-6847-3p	2	1	0
mir-4435	1	0	2
miR-6875-5p	1	0	2
mir-488	2	1	0
miR-4268	1	1	1
miR-8059	1	2	0
miR-6514-3p	2	1	0
miR-4731-3p	3	0	0
miR-5003-3p	1	2	0
miR-6877-3p	1	2	0
miR-3671	2	1	0
miR-8077	0	3	0
miR-6864-3p	2	1	0
miR-5689	3	0	0
mir-562	2	1	0
miR-6776-3p	1	2	0
mir-1199	0	3	0
miR-6830-5p	2	1	0
miR-6079	3	0	0
miR-6822-5p	3	0	0
miR-6719-3p	3	0	0
mir-3132	2	0	1
miR-4665-3p	1	2	0
miR-5090	3	0	0
miR-6750-3p	3	0	0
mir-3617	1	2	0
miR-6886-3p	1	1	1
miR-2276-5p	1	2	0
miR-4781-3p	1	2	0
miR-7155-5p	3	0	0
miR-2682-5p	2	0	1
miR-4503	1	2	0
miR-6773-3p	2	1	0
miR-6757-3p	3	0	0
miR-7844-5p	2	1	0
miR-620	2	0	1
miR-7114-5p	3	0	0
miR-6764-3p	3	0	0
miR-4745-3p	3	0	0
miR-3159	2	1	0
mir-1253	1	2	0
miR-4800-3p	3	0	0
mir-504	2	1	0
miR-7112-5p	1	2	0
miR-585-5p	3	0	0
miR-4685-5p	2	1	0
miR-6894-5p	2	1	0
miR-1973	3	0	0
miR-3059-3p	2	1	0
miR-6787-3p	3	0	0
miR-2054	1	2	0
miR-4802-5p	2	1	0
miR-4639-3p	2	1	0
miR-6510-5p	0	0	3
miR-6801-5p	0	3	0
miR-6716-3p	2	1	0
miR-6834-3p	3	0	0
miR-7856-5p	2	1	0
mir-549	0	2	1
mir-6132	2	1	0
mir-3927	0	3	0
miR-6826-3p	3	0	0
mir-1258	2	1	0
mir-581	1	0	2
miR-7849-3p	2	1	0
mir-1976	2	1	0
miR-4658	0	2	1
miR-6874-3p	1	1	1
miR-4707-3p	0	3	0
miR-6777-5p	3	0	0
miR-6878-5p	2	1	0
miR-6738-5p	0	0	3
miR-4759	0	3	0
miR-4676-5p	3	0	0
miR-8054	2	0	1
miR-6747-5p	0	2	1
miR-6824-3p	3	0	0
mir-1289	2	1	0
miR-5190	2	1	0
miR-5002-5p	3	0	0
miR-2113	2	1	0
miR-7843-5p	2	1	0
miR-5006-5p	2	1	0
miR-6509-5p	3	0	0
miR-6774-5p	3	0	0
miR-9898	2	1	0
miR-6842-5p	3	0	0
miR-3124-5p	3	0	0
miR-5690	2	1	0
miR-4686	2	1	0
mir-4504	3	0	0
miR-5003-5p	2	1	0
miR-4519	3	0	0
miR-3692-3p	3	0	0
miR-4323	3	0	0
miR-4640-3p	2	1	0
miR-4732-5p	1	2	0
mir-621	2	1	0
miR-6895-5p	1	2	0
miR-3925-5p	1	2	0
miR-6762-3p	3	0	0
miR-6766-3p	3	0	0
miR-7109-3p	3	0	0
miR-6848-3p	3	0	0
mir-920	2	1	0
mir-3689	1	1	1
miR-6760-5p	2	1	0
mir-3926	2	1	0
miR-12121	3	0	0
miR-6739-3p	3	0	0
miR-4745-5p	1	2	0
miR-6797-3p	1	2	0
miR-6791-5p	3	0	0
miR-7106-3p	3	0	0
mir-137	1	1	0
miR-3148	1	0	1
miR-6792-5p	2	0	0
miR-6074	1	1	0
miR-5087	0	2	0
miR-6771-3p	1	1	0
mir-3135	2	0	0
mir-1203	1	1	0
miR-4649-5p	1	1	0
mir-596	1	1	0
mir-122	2	0	0
mir-555	1	1	0
mir-431	1	1	0
miR-4506	2	0	0
miR-6072	2	0	0
miR-2116-5p	1	1	0
miR-6880-5p	1	1	0
miR-4642	1	1	0
miR-6766-5p	1	1	0
miR-4479	1	1	0
miR-3942-3p	2	0	0
miR-4292	2	0	0
miR-2115-3p	0	2	0
miR-8087	1	1	0
mir-363	1	1	0
miR-4490	1	1	0
miR-5008-3p	2	0	0
miR-6745	2	0	0
miR-3168	2	0	0
miR-7156-3p	1	1	0
mir-622	0	2	0
miR-6778-3p	2	0	0
miR-6823-3p	1	1	0
miR-4643	2	0	0
miR-4727-3p	2	0	0
miR-499b-3p	2	0	0
miR-6852-5p	2	0	0
miR-6855-3p	2	0	0
miR-4735-5p	0	2	0
miR-6861-5p	2	0	0
miR-4701-5p	2	0	0
miR-6499-3p	1	1	0
miR-6740-3p	2	0	0
mir-4703	2	0	0
miR-4290	2	0	0
mir-329	1	1	0
mir-1224	0	0	2
miR-4494	0	2	0
miR-6881-5p	0	0	2
miR-4514	2	0	0
miR-3616-5p	2	0	0
mir-1207	2	0	0
mir-3156	1	1	0
miR-4691-5p	2	0	0
miR-4634	0	2	0
miR-6513-3p	0	2	0
miR-6867-5p	1	0	1
miR-6874-5p	0	2	0
mir-4637	2	0	0
miR-2117	2	0	0
miR-3128	1	1	0
miR-6734-5p	1	1	0
miR-6084	2	0	0
mir-3913	2	0	0
miR-10397-5p	2	0	0
miR-4472	1	1	0
mir-4782	1	1	0
miR-8076	0	2	0
mir-635	1	1	0
miR-6774-3p	1	0	1
mir-4743	1	1	0
mir-290	0	2	0
miR-5192	2	0	0
mir-875	1	1	0
miR-5700	0	2	0
miR-12135	1	1	0
miR-6802-5p	1	1	0
miR-3181	2	0	0
mir-626	2	0	0
miR-4768-3p	0	2	0
miR-6742-5p	1	1	0
miR-4424	2	0	0
mir-7973	1	1	0
mir-378_2	1	1	0
miR-4804-3p	2	0	0
miR-4735-3p	2	0	0
miR-4804-5p	2	0	0
miR-6858-3p	2	0	0
miR-4764-3p	1	1	0
miR-6809-5p	2	0	0
mir-6131	0	2	0
miR-6870-3p	2	0	0
miR-6767-5p	1	1	0
miR-8055	2	0	0
miR-3610	2	0	0
miR-6773-5p	0	2	0
miR-4767	2	0	0
mir-765	1	0	1
mir-4510	0	2	0
mir-134	2	0	0
miR-4729	1	1	0
miR-6868-5p	1	1	0
miR-6890-5p	2	0	0
miR-4713-3p	1	1	0
miR-3134	2	0	0
miR-6814-3p	2	0	0
miR-4498	2	0	0
miR-5698	0	2	0
miR-8073	2	0	0
miR-4764-5p	1	1	0
miR-4439	1	0	1
mir-711	2	0	0
miR-3620-3p	0	2	0
miR-6744-3p	1	1	0
miR-4493	1	1	0
miR-6814-5p	1	1	0
miR-7974	0	0	2
miR-6754-3p	2	0	0
miR-3124-3p	2	0	0
miR-4464	1	1	0
miR-6768-3p	2	0	0
miR-6825-3p	1	1	0
miR-6852-3p	1	1	0
miR-2115-5p	2	0	0
miR-4265	1	1	0
miR-498-3p	1	1	0
mir-217	2	0	0
miR-3714	1	1	0
mir-1912	1	1	0
mir-3121	1	1	0
miR-7162-5p	0	2	0
mir-379	0	1	1
miR-6844	1	1	0
mir-1251	1	1	0
mir-4654	1	1	0
miR-4328	2	0	0
miR-7107-3p	0	2	0
miR-3085-5p	1	1	0
miR-4748	2	0	0
miR-12116	1	1	0
miR-4530	1	1	0
mir-3122	2	0	0
mir-567	1	0	1
miR-8061	0	2	0
miR-4639-5p	1	0	1
miR-6499-5p	0	2	0
miR-6872-5p	1	1	0
miR-6832-3p	1	1	0
miR-6733-5p	2	0	0
miR-6731-5p	2	0	0
miR-6839-3p	1	0	1
mir-452	2	0	0
mir-3167	1	1	0
miR-12128	1	1	0
mir-568	1	1	0
miR-6860	1	1	0
miR-4539	2	0	0
miR-7843-3p	2	0	0
mir-873	2	0	0
miR-6797-5p	2	0	0
miR-4257	2	0	0
miR-3197	1	1	0
miR-3667-3p	2	0	0
miR-6845-3p	0	2	0
miR-6813-5p	2	0	0
miR-4496	1	1	0
miR-4722-5p	1	1	0
miR-4314	2	0	0
mir-623	2	0	0
miR-4777-3p	0	2	0
miR-4784	2	0	0
miR-4470	2	0	0
miR-4712-5p	2	0	0
miR-3137	2	0	0
miR-3187-5p	2	0	0
mir-564	2	0	0
miR-4756-3p	1	0	0
mir-1181	1	0	0
miR-5696	1	0	0
miR-4724-3p	1	0	0
miR-4772-5p	1	0	0
miR-7850-5p	0	1	0
miR-3692-5p	1	0	0
miR-7113-3p	1	0	0
miR-3153	0	1	0
miR-3606-5p	0	1	0
miR-5704	0	1	0
miR-12125	0	1	0
miR-5707	0	1	0
mir-921	0	1	0
miR-4663	0	1	0
miR-4762-3p	1	0	0
miR-4293	1	0	0
mir-383	0	1	0
mir-3529	0	1	0
miR-6508-3p	0	1	0
mir-558	0	1	0
mir-1913	0	1	0
miR-3662	1	0	0
miR-4431	0	1	0
mir-3613	1	0	0
mir-609	0	0	1
miR-4656	1	0	0
miR-6833-5p	0	0	1
miR-6829-3p	1	0	0
mir-1267	1	0	0
miR-6077	1	0	0
miR-7153-5p	0	1	0
miR-6510-3p	0	1	0
miR-5197-5p	0	1	0
miR-3142	1	0	0
mir-1270	0	1	0
mir-563	1	0	0
miR-4756-5p	0	1	0
mir-5692	1	0	0
miR-4733-5p	1	0	0
mir-646	1	0	0
mir-3660	1	0	0
miR-10395-3p	1	0	0
miR-8052	0	0	1
miR-3976	0	0	1
mir-634	0	1	0
miR-6892-5p	0	1	0
mir-1469	1	0	0
miR-4653-3p	0	1	0
miR-5007-3p	0	1	0
miR-4794	1	0	0
mir-6128	0	1	0
miR-3919	0	1	0
miR-4675	0	1	0
miR-6888-3p	1	0	0
miR-4707-5p	0	1	0
miR-4715-5p	1	0	0
miR-8085	1	0	0
miR-6718-5p	0	1	0
miR-9983-3p	0	0	1
miR-6803-3p	0	1	0
miR-4711-3p	0	1	0
miR-3686	0	1	0
miR-4537	0	1	0
miR-6746-3p	0	1	0
miR-4708-3p	1	0	0
miR-4694-5p	0	1	0
miR-4262	1	0	0
mir-633	0	1	0
miR-4310	0	1	0
miR-7160-3p	1	0	0
mir-889	1	0	0
mir-4679	0	0	1
miR-7847-3p	0	1	0
miR-5000-3p	0	1	0
mir-1471	0	1	0
mir-613	1	0	0
miR-4282	0	1	0
miR-6841-5p	1	0	0
mir-802	1	0	0
