noncodingRNA_fam	Total_Count	Total_Percentage	Manakov22.tsv_Count	Manakov22.tsv_Percentage	Hejret23.tsv_Count	Hejret23.tsv_Percentage	Klimentova22.tsv_Count	Klimentova22.tsv_Percentage
mir-671	1701	0.1183926166438721	1678	0.11720422521930392	20	0.43677658877484166	3	0.628930817610063
mir-362	1678	0.11679177585444878	1675	0.1169946825043707	2	0.04367765887748416	1	0.20964360587002098
mir-1301	1582	0.11011000560294276	1556	0.10868282147868706	24	0.52413190652981	2	0.41928721174004197
mir-126	1574	0.10955319141531727	1568	0.10952099233841987	6	0.1310329766324525	0	0.0
mir-590	1502	0.10454186372668775	1501	0.10484120503824505	1	0.02183882943874208	0	0.0
mir-194	1349	0.09389279238835005	1348	0.09415452657665177	1	0.02183882943874208	0	0.0
mir-345	1280	0.08909027002008012	1278	0.08926519656154373	2	0.04367765887748416	0	0.0
mir-505	1264	0.08797664164482911	1253	0.08751900727043373	10	0.21838829438742083	1	0.20964360587002098
mir-1277	1252	0.08714142036339086	1234	0.08619190340919013	18	0.3930989298973575	0	0.0
mir-342	1250	0.08700221681648448	1233	0.08612205583754572	17	0.3712601004586154	0	0.0
mir-769	1231	0.08567978312087392	1197	0.08360754325834731	34	0.7425202009172308	0	0.0
mir-149	1215	0.08456615474562292	1190	0.0831186102568365	24	0.52413190652981	1	0.20964360587002098
mir-450	1151	0.0801116412446189	1150	0.08032470739106048	1	0.02183882943874208	0	0.0
mir-548	1120	0.0779539862675701	1106	0.07725141423870686	14	0.30574361214238915	0	0.0
mir-132	1041	0.07245544616476828	1040	0.07264147451017644	0	0.0	1	0.20964360587002098
mir-629	941	0.06549526881944952	940	0.0656567173457364	1	0.02183882943874208	0	0.0
mir-542	913	0.06354641916276027	913	0.06377083291133759	0	0.0	0	0.0
mir-625	893	0.06215438369369652	889	0.06209449119187198	3	0.06551648831622625	1	0.20964360587002098
mir-497	887	0.06173677305297739	887	0.06195479604858317	0	0.0	0	0.0
mir-192	781	0.05435898506693951	781	0.05455095345427673	0	0.0	0	0.0
mir-935	721	0.05018287865974825	716	0.050010861297390706	3	0.06551648831622625	2	0.41928721174004197
mir-582	694	0.04830363077651219	693	0.0484043671495695	1	0.02183882943874208	0	0.0
mir-550	657	0.04572836515874424	657	0.04588985457037108	0	0.0	0	0.0
mir-491	646	0.04496274565075918	643	0.04491198856734947	3	0.06551648831622625	0	0.0
mir-874	636	0.04426672791622731	634	0.04428336042254987	1	0.02183882943874208	1	0.20964360587002098
mir-551	534	0.03716734702400217	532	0.037158908114821025	2	0.04367765887748416	0	0.0
mir-330	524	0.0364713292894703	516	0.03604134696851062	8	0.17471063550993665	0	0.0
mir-124	521	0.036262523969110734	519	0.03625088968344382	2	0.04367765887748416	0	0.0
mir-1246	487	0.03389606367170235	427	0.02982491309215898	58	1.266652107447041	2	0.41928721174004197
mir-486	480	0.03340885125753004	478	0.033387139246023406	2	0.04367765887748416	0	0.0
mir-2110	440	0.03062478031940254	438	0.030593236380247385	2	0.04367765887748416	0	0.0
mir-940	436	0.030346373225589786	423	0.029545522805581377	13	0.2839047827036471	0	0.0
mir-187	383	0.026657479232570846	383	0.02675161993980536	0	0.0	0	0.0
mir-190	368	0.025613452630773033	367	0.025634058793494955	1	0.02183882943874208	0	0.0
mir-219	354	0.024639027802428406	353	0.024656192790473347	1	0.02183882943874208	0	0.0
mir-3615	345	0.02401261184134972	344	0.024027564645673745	1	0.02183882943874208	0	0.0
mir-8	345	0.02401261184134972	345	0.024097412217318145	0	0.0	0	0.0
mir-1303	334	0.023246992333364653	326	0.02277030835607454	8	0.17471063550993665	0	0.0
mir-1226	330	0.022968585239551902	298	0.020814576350031325	32	0.6988425420397466	0	0.0
mir-346	329	0.022898983466098716	321	0.022421070497852538	8	0.17471063550993665	0	0.0
mir-138	319	0.02220296573156684	317	0.022141680211274935	2	0.04367765887748416	0	0.0
mir-760	301	0.020950133809409466	265	0.018509606485766113	35	0.7643590303559729	1	0.20964360587002098
mir-328	297	0.020671726715596715	277	0.019347777345498918	20	0.43677658877484166	0	0.0
mir-449	293	0.020393319621783965	292	0.020395490920164926	0	0.0	1	0.20964360587002098
mir-3200	288	0.020045310754518025	288	0.020116100633587323	0	0.0	0	0.0
mir-1285	269	0.01872287705890746	264	0.01843975891412171	5	0.10919414719371041	0	0.0
mir-624	257	0.01788765577746921	257	0.01795082591261091	0	0.0	0	0.0
mir-941	237	0.016495620308405456	231	0.016134789049856497	6	0.1310329766324525	0	0.0
mir-628	231	0.016078009667686334	230	0.016064941478212098	1	0.02183882943874208	0	0.0
mir-574	227	0.015799602573873583	220	0.015366465761768092	6	0.1310329766324525	1	0.20964360587002098
mir-375	224	0.01559079725351402	223	0.015576008476701295	1	0.02183882943874208	0	0.0
mir-598	209	0.014546770651716206	209	0.014598142473679689	0	0.0	0	0.0
mir-129	174	0.01211070858085464	174	0.012153477466125674	0	0.0	0	0.0
mir-597	173	0.012041106807401452	173	0.012083629894481272	0	0.0	0	0.0
mir-576	171	0.011901903260495077	170	0.011874087179548073	1	0.02183882943874208	0	0.0
mir-326	146	0.010161858924165388	140	0.009778660030216059	6	0.1310329766324525	0	0.0
mir-942	143	0.009953053603805825	142	0.00991835517350486	1	0.02183882943874208	0	0.0
mir-153	125	0.008700221681648449	125	0.008730946455550052	0	0.0	0	0.0
mir-589	124	0.008630619908195261	122	0.008521403740616853	2	0.04367765887748416	0	0.0
mir-1306	116	0.00807380572056976	113	0.007892775595817247	3	0.06551648831622625	0	0.0
mir-556	114	0.007934602173663385	114	0.007962623167461649	0	0.0	0	0.0
mir-641	109	0.0075865933063974465	109	0.007613385309239646	0	0.0	0	0.0
mir-3158	104	0.007238584439131509	104	0.0072641474510176446	0	0.0	0	0.0
mir-877	101	0.007029779118771946	93	0.006495824162929239	8	0.17471063550993665	0	0.0
mir-627	100	0.006960177345318759	100	0.006984757164440042	0	0.0	0	0.0
mir-1292	96	0.006681770251506009	94	0.00656567173457364	2	0.04367765887748416	0	0.0
mir-1343	93	0.006472964931146446	89	0.006216433876351638	4	0.08735531775496833	0	0.0
mir-561	83	0.00577694719661457	83	0.005797348446485235	0	0.0	0	0.0
mir-199	80	0.005568141876255007	79	0.005517958159907634	1	0.02183882943874208	0	0.0
mir-618	71	0.0049417259151763185	71	0.00495917758675243	0	0.0	0	0.0
mir-338	69	0.004802522368269943	65	0.0045400921568860275	4	0.08735531775496833	0	0.0
mir-1304	69	0.004802522368269943	69	0.0048194824434636295	0	0.0	0	0.0
mir-577	67	0.004663318821363568	66	0.004609939728530427	1	0.02183882943874208	0	0.0
mir-139	61	0.004245708180644443	60	0.004190854298664026	1	0.02183882943874208	0	0.0
mir-4677	61	0.004245708180644443	60	0.004190854298664026	0	0.0	1	0.20964360587002098
mir-2278	59	0.004106504633738068	59	0.004121006727019625	0	0.0	0	0.0
mir-1910	59	0.004106504633738068	58	0.004051159155375224	1	0.02183882943874208	0	0.0
mir-605	54	0.00375849576647213	53	0.0037019212971532225	1	0.02183882943874208	0	0.0
mir-1295	52	0.0036192922195657545	52	0.0036320737255088223	0	0.0	0	0.0
mir-3130	52	0.0036192922195657545	52	0.0036320737255088223	0	0.0	0	0.0
mir-506	50	0.0034800886726593797	46	0.0032129882956424194	2	0.04367765887748416	2	0.41928721174004197
mir-142	50	0.0034800886726593797	50	0.003492378582220021	0	0.0	0	0.0
mir-3074	48	0.0033408851257530044	48	0.0033526834389312203	0	0.0	0	0.0
mir-636	44	0.0030624780319402534	42	0.002933598009064818	2	0.04367765887748416	0	0.0
mir-4429	44	0.0030624780319402534	41	0.002863750437420417	3	0.06551648831622625	0	0.0
mir-1915	43	0.002992876258487066	35	0.0024446650075540147	8	0.17471063550993665	0	0.0
mir-619	43	0.002992876258487066	40	0.002793902865776017	3	0.06551648831622625	0	0.0
mir-1299	43	0.002992876258487066	43	0.003003445580709218	0	0.0	0	0.0
mir-1305	41	0.0028536727115806913	41	0.002863750437420417	0	0.0	0	0.0
mir-3173	40	0.0027840709381275037	39	0.0027240552941316166	1	0.02183882943874208	0	0.0
mir-1297	40	0.0027840709381275037	40	0.002793902865776017	0	0.0	0	0.0
mir-3064	39	0.002714469164674316	38	0.0026542077224872163	1	0.02183882943874208	0	0.0
mir-3127	39	0.002714469164674316	39	0.0027240552941316166	0	0.0	0	0.0
mir-1909	36	0.002505663844314753	34	0.0023748174359096144	2	0.04367765887748416	0	0.0
mir-147	35	0.0024360620708615654	35	0.0024446650075540147	0	0.0	0	0.0
mir-2355	33	0.00229685852395519	33	0.0023049698642652137	0	0.0	0	0.0
mir-766	33	0.00229685852395519	32	0.002235122292620814	1	0.02183882943874208	0	0.0
mir-3940	33	0.00229685852395519	33	0.0023049698642652137	0	0.0	0	0.0
mir-3065	32	0.002227256750502003	32	0.002235122292620814	0	0.0	0	0.0
mir-6511	32	0.002227256750502003	28	0.001955732006043212	4	0.08735531775496833	0	0.0
mir-1914	31	0.0021576549770488153	27	0.0018858844343988114	4	0.08735531775496833	0	0.0
mir-4421	31	0.0021576549770488153	30	0.002095427149332013	1	0.02183882943874208	0	0.0
mir-663	29	0.00201845143014244	29	0.002025579577687612	0	0.0	0	0.0
mir-1262	29	0.00201845143014244	28	0.001955732006043212	1	0.02183882943874208	0	0.0
mir-4523	28	0.0019488496566892526	28	0.001955732006043212	0	0.0	0	0.0
mir-216	26	0.0018096461097828773	26	0.0018160368627544111	0	0.0	0	0.0
mir-1537	25	0.0017400443363296898	25	0.0017461892911100104	0	0.0	0	0.0
mir-515	25	0.0017400443363296898	22	0.0015366465761768094	3	0.06551648831622625	0	0.0
mir-135	24	0.0016704425628765022	24	0.0016763417194656102	0	0.0	0	0.0
mir-5583	23	0.0016008407894233146	23	0.0016064941478212097	0	0.0	0	0.0
mir-204	23	0.0016008407894233146	22	0.0015366465761768094	1	0.02183882943874208	0	0.0
mir-1972	23	0.0016008407894233146	21	0.001466799004532409	2	0.04367765887748416	0	0.0
mir-1287	23	0.0016008407894233146	23	0.0016064941478212097	0	0.0	0	0.0
mir-4423	23	0.0016008407894233146	23	0.0016064941478212097	0	0.0	0	0.0
mir-1276	23	0.0016008407894233146	23	0.0016064941478212097	0	0.0	0	0.0
mir-933	23	0.0016008407894233146	23	0.0016064941478212097	0	0.0	0	0.0
mir-1227	22	0.0015312390159701267	18	0.0012572562895992077	4	0.08735531775496833	0	0.0
mir-1247	22	0.0015312390159701267	20	0.0013969514328880084	2	0.04367765887748416	0	0.0
mir-1250	21	0.0014616372425169393	21	0.001466799004532409	0	0.0	0	0.0
mir-4742	21	0.0014616372425169393	21	0.001466799004532409	0	0.0	0	0.0
mir-3126	20	0.0013920354690637518	20	0.0013969514328880084	0	0.0	0	0.0
mir-3136	20	0.0013920354690637518	19	0.0013271038612436082	0	0.0	1	0.20964360587002098
mir-105	20	0.0013920354690637518	20	0.0013969514328880084	0	0.0	0	0.0
mir-676	20	0.0013920354690637518	20	0.0013969514328880084	0	0.0	0	0.0
mir-1278	19	0.0013224336956105642	19	0.0013271038612436082	0	0.0	0	0.0
mir-3174	19	0.0013224336956105642	19	0.0013271038612436082	0	0.0	0	0.0
mir-1256	19	0.0013224336956105642	19	0.0013271038612436082	0	0.0	0	0.0
mir-1255	17	0.001183230148704189	17	0.0011874087179548072	0	0.0	0	0.0
mir-133	17	0.001183230148704189	17	0.0011874087179548072	0	0.0	0	0.0
mir-3150	17	0.001183230148704189	17	0.0011874087179548072	0	0.0	0	0.0
mir-643	17	0.001183230148704189	17	0.0011874087179548072	0	0.0	0	0.0
mir-4680	17	0.001183230148704189	16	0.001117561146310407	1	0.02183882943874208	0	0.0
mir-2114	17	0.001183230148704189	17	0.0011874087179548072	0	0.0	0	0.0
mir-297	17	0.001183230148704189	16	0.001117561146310407	1	0.02183882943874208	0	0.0
mir-198	16	0.0011136283752510015	14	0.000977866003021606	2	0.04367765887748416	0	0.0
mir-3179	15	0.0010440266017978138	14	0.000977866003021606	1	0.02183882943874208	0	0.0
mir-3180	15	0.0010440266017978138	13	0.0009080184313772056	2	0.04367765887748416	0	0.0
mir-1284	15	0.0010440266017978138	14	0.000977866003021606	1	0.02183882943874208	0	0.0
mir-154	15	0.0010440266017978138	12	0.0008381708597328051	3	0.06551648831622625	0	0.0
mir-4657	14	0.0009744248283446263	13	0.0009080184313772056	1	0.02183882943874208	0	0.0
mir-499	14	0.0009744248283446263	14	0.000977866003021606	0	0.0	0	0.0
mir-642	14	0.0009744248283446263	14	0.000977866003021606	0	0.0	0	0.0
mir-592	13	0.0009048230548914386	13	0.0009080184313772056	0	0.0	0	0.0
mir-4446	13	0.0009048230548914386	13	0.0009080184313772056	0	0.0	0	0.0
mir-197	13	0.0009048230548914386	13	0.0009080184313772056	0	0.0	0	0.0
mir-665	13	0.0009048230548914386	12	0.0008381708597328051	1	0.02183882943874208	0	0.0
mir-3661	13	0.0009048230548914386	13	0.0009080184313772056	0	0.0	0	0.0
mir-616	13	0.0009048230548914386	13	0.0009080184313772056	0	0.0	0	0.0
mir-1244	13	0.0009048230548914386	10	0.0006984757164440042	3	0.06551648831622625	0	0.0
mir-483	13	0.0009048230548914386	11	0.0007683232880884047	2	0.04367765887748416	0	0.0
mir-891	12	0.0008352212814382511	12	0.0008381708597328051	0	0.0	0	0.0
mir-939	12	0.0008352212814382511	12	0.0008381708597328051	0	0.0	0	0.0
mir-3605	12	0.0008352212814382511	12	0.0008381708597328051	0	0.0	0	0.0
mir-4766	11	0.0007656195079850633	11	0.0007683232880884047	0	0.0	0	0.0
mir-767	11	0.0007656195079850633	11	0.0007683232880884047	0	0.0	0	0.0
mir-1	11	0.0007656195079850633	11	0.0007683232880884047	0	0.0	0	0.0
mir-675	11	0.0007656195079850633	11	0.0007683232880884047	0	0.0	0	0.0
mir-632	11	0.0007656195079850633	11	0.0007683232880884047	0	0.0	0	0.0
mir-653	11	0.0007656195079850633	11	0.0007683232880884047	0	0.0	0	0.0
mir-887	10	0.0006960177345318759	9	0.0006286281447996038	1	0.02183882943874208	0	0.0
mir-651	10	0.0006960177345318759	10	0.0006984757164440042	0	0.0	0	0.0
mir-3943	10	0.0006960177345318759	10	0.0006984757164440042	0	0.0	0	0.0
mir-4444	10	0.0006960177345318759	10	0.0006984757164440042	0	0.0	0	0.0
mir-1236	10	0.0006960177345318759	6	0.00041908542986640254	4	0.08735531775496833	0	0.0
mir-224	10	0.0006960177345318759	10	0.0006984757164440042	0	0.0	0	0.0
mir-1233	10	0.0006960177345318759	10	0.0006984757164440042	0	0.0	0	0.0
mir-214	10	0.0006960177345318759	10	0.0006984757164440042	0	0.0	0	0.0
mir-1286	9	0.0006264159610786883	9	0.0006286281447996038	0	0.0	0	0.0
mir-3192	9	0.0006264159610786883	9	0.0006286281447996038	0	0.0	0	0.0
mir-743	9	0.0006264159610786883	9	0.0006286281447996038	0	0.0	0	0.0
mir-3188	9	0.0006264159610786883	7	0.000488933001510803	2	0.04367765887748416	0	0.0
mir-943	8	0.0005568141876255007	8	0.0005587805731552035	0	0.0	0	0.0
mir-639	8	0.0005568141876255007	7	0.000488933001510803	1	0.02183882943874208	0	0.0
mir-4716	8	0.0005568141876255007	8	0.0005587805731552035	0	0.0	0	0.0
mir-3648	8	0.0005568141876255007	7	0.000488933001510803	1	0.02183882943874208	0	0.0
mir-1252	8	0.0005568141876255007	7	0.000488933001510803	1	0.02183882943874208	0	0.0
mir-580	8	0.0005568141876255007	7	0.000488933001510803	1	0.02183882943874208	0	0.0
mir-3934	8	0.0005568141876255007	8	0.0005587805731552035	0	0.0	0	0.0
mir-3149	8	0.0005568141876255007	8	0.0005587805731552035	0	0.0	0	0.0
mir-3912	8	0.0005568141876255007	8	0.0005587805731552035	0	0.0	0	0.0
mir-4449	8	0.0005568141876255007	7	0.000488933001510803	1	0.02183882943874208	0	0.0
mir-1468	8	0.0005568141876255007	8	0.0005587805731552035	0	0.0	0	0.0
mir-3138	8	0.0005568141876255007	8	0.0005587805731552035	0	0.0	0	0.0
mir-647	7	0.00048721241417231314	7	0.000488933001510803	0	0.0	0	0.0
mir-1182	7	0.00048721241417231314	7	0.000488933001510803	0	0.0	0	0.0
mir-1538	7	0.00048721241417231314	7	0.000488933001510803	0	0.0	0	0.0
mir-6827	7	0.00048721241417231314	7	0.000488933001510803	0	0.0	0	0.0
mir-145	7	0.00048721241417231314	7	0.000488933001510803	0	0.0	0	0.0
mir-451	7	0.00048721241417231314	7	0.000488933001510803	0	0.0	0	0.0
mir-1288	7	0.00048721241417231314	7	0.000488933001510803	0	0.0	0	0.0
mir-6505	7	0.00048721241417231314	6	0.00041908542986640254	1	0.02183882943874208	0	0.0
mir-1243	7	0.00048721241417231314	7	0.000488933001510803	0	0.0	0	0.0
mir-489	6	0.00041761064071912555	6	0.00041908542986640254	0	0.0	0	0.0
mir-631	6	0.00041761064071912555	5	0.0003492378582220021	1	0.02183882943874208	0	0.0
mir-1293	6	0.00041761064071912555	6	0.00041908542986640254	0	0.0	0	0.0
mir-3145	6	0.00041761064071912555	6	0.00041908542986640254	0	0.0	0	0.0
mir-602	6	0.00041761064071912555	6	0.00041908542986640254	0	0.0	0	0.0
mir-3160	6	0.00041761064071912555	6	0.00041908542986640254	0	0.0	0	0.0
mir-203	6	0.00041761064071912555	5	0.0003492378582220021	1	0.02183882943874208	0	0.0
mir-5681	6	0.00041761064071912555	6	0.00041908542986640254	0	0.0	0	0.0
mir-588	6	0.00041761064071912555	6	0.00041908542986640254	0	0.0	0	0.0
mir-4659	6	0.00041761064071912555	6	0.00041908542986640254	0	0.0	0	0.0
mir-649	6	0.00041761064071912555	6	0.00041908542986640254	0	0.0	0	0.0
mir-144	6	0.00041761064071912555	6	0.00041908542986640254	0	0.0	0	0.0
mir-6859	6	0.00041761064071912555	6	0.00041908542986640254	0	0.0	0	0.0
mir-3202	5	0.00034800886726593796	5	0.0003492378582220021	0	0.0	0	0.0
mir-3680	5	0.00034800886726593796	5	0.0003492378582220021	0	0.0	0	0.0
mir-3116	5	0.00034800886726593796	4	0.00027939028657760173	1	0.02183882943874208	0	0.0
mir-4436	5	0.00034800886726593796	5	0.0003492378582220021	0	0.0	0	0.0
mir-3140	5	0.00034800886726593796	5	0.0003492378582220021	0	0.0	0	0.0
mir-4738	5	0.00034800886726593796	5	0.0003492378582220021	0	0.0	0	0.0
mir-493	5	0.00034800886726593796	5	0.0003492378582220021	0	0.0	0	0.0
mir-4667	5	0.00034800886726593796	5	0.0003492378582220021	0	0.0	0	0.0
mir-3190	5	0.00034800886726593796	5	0.0003492378582220021	0	0.0	0	0.0
mir-302	5	0.00034800886726593796	4	0.00027939028657760173	1	0.02183882943874208	0	0.0
mir-143	4	0.00027840709381275037	4	0.00027939028657760173	0	0.0	0	0.0
mir-1273c	4	0.00027840709381275037	4	0.00027939028657760173	0	0.0	0	0.0
mir-593	4	0.00027840709381275037	4	0.00027939028657760173	0	0.0	0	0.0
mir-1266	4	0.00027840709381275037	3	0.00020954271493320127	1	0.02183882943874208	0	0.0
mir-937	4	0.00027840709381275037	4	0.00027939028657760173	0	0.0	0	0.0
mir-572	4	0.00027840709381275037	4	0.00027939028657760173	0	0.0	0	0.0
mir-630	4	0.00027840709381275037	4	0.00027939028657760173	0	0.0	0	0.0
mir-1322	4	0.00027840709381275037	4	0.00027939028657760173	0	0.0	0	0.0
mir-4660	4	0.00027840709381275037	3	0.00020954271493320127	1	0.02183882943874208	0	0.0
mir-1202	4	0.00027840709381275037	4	0.00027939028657760173	0	0.0	0	0.0
mir-4526	4	0.00027840709381275037	4	0.00027939028657760173	0	0.0	0	0.0
mir-4484	4	0.00027840709381275037	4	0.00027939028657760173	0	0.0	0	0.0
mir-3198	4	0.00027840709381275037	4	0.00027939028657760173	0	0.0	0	0.0
mir-5697	4	0.00027840709381275037	4	0.00027939028657760173	0	0.0	0	0.0
mir-1225	4	0.00027840709381275037	3	0.00020954271493320127	1	0.02183882943874208	0	0.0
mir-6862	4	0.00027840709381275037	4	0.00027939028657760173	0	0.0	0	0.0
mir-3155	4	0.00027840709381275037	4	0.00027939028657760173	0	0.0	0	0.0
mir-610	4	0.00027840709381275037	3	0.00020954271493320127	1	0.02183882943874208	0	0.0
mir-3618	4	0.00027840709381275037	4	0.00027939028657760173	0	0.0	0	0.0
mir-1294	4	0.00027840709381275037	4	0.00027939028657760173	0	0.0	0	0.0
mir-1238	4	0.00027840709381275037	3	0.00020954271493320127	1	0.02183882943874208	0	0.0
mir-4672	3	0.00020880532035956277	3	0.00020954271493320127	0	0.0	0	0.0
mir-223	3	0.00020880532035956277	2	0.00013969514328880087	1	0.02183882943874208	0	0.0
mir-1204	3	0.00020880532035956277	3	0.00020954271493320127	0	0.0	0	0.0
mir-3622	3	0.00020880532035956277	3	0.00020954271493320127	0	0.0	0	0.0
mir-3199	3	0.00020880532035956277	3	0.00020954271493320127	0	0.0	0	0.0
