miRNA_fam	Manakov2022_6mer_count	Manakov2022_7mer_count	Manakov2022_8mer_count	Manakov2022_noncanonical_count	Hejret2023_6mer_count	Hejret2023_7mer_count	Hejret2023_8mer_count	Hejret2023_noncanonical_count	Klimentova2022_6mer_count	Klimentova2022_7mer_count	Klimentova2022_8mer_count	Klimentova2022_noncanonical_count	Manakov2022_6mer_percent	Manakov2022_7mer_percent	Manakov2022_8mer_percent	Manakov2022_noncanonical_percent	Hejret2023_6mer_percent	Hejret2023_7mer_percent	Hejret2023_8mer_percent	Hejret2023_noncanonical_percent	Klimentova2022_6mer_percent	Klimentova2022_7mer_percent	Klimentova2022_8mer_percent	Klimentova2022_noncanonical_percent
mir-423	2712	2359	475	14191	43	46	9	139	3	0	1	4	0.12	0.11	0.02	0.64	0.55	0.59	0.12	1.79	0.4	0.0	0.13	0.53
mir-181	2215	3179	542	10341	1	3	0	21	1	0	0	4	0.1	0.14	0.02	0.46	0.01	0.04	0.0	0.27	0.13	0.0	0.0	0.53
mir-218	2478	3359	888	9502	2	1	0	8	3	2	0	4	0.11	0.15	0.04	0.43	0.03	0.01	0.0	0.1	0.4	0.27	0.0	0.53
mir-10	2636	1741	366	9436	42	22	3	147	0	0	0	3	0.12	0.08	0.02	0.42	0.54	0.28	0.04	1.89	0.0	0.0	0.0	0.4
mir-374	2910	2647	522	8151	1	2	1	8	0	1	0	1	0.13	0.12	0.02	0.37	0.01	0.03	0.01	0.1	0.0	0.13	0.0	0.13
mir-322	2276	4530	1110	5104	0	2	0	3	0	0	0	1	0.1	0.2	0.05	0.23	0.0	0.03	0.0	0.04	0.0	0.0	0.0	0.13
mir-34	2188	2972	800	6658	2	2	0	6	0	0	0	1	0.1	0.13	0.04	0.3	0.03	0.03	0.0	0.08	0.0	0.0	0.0	0.13
mir-378	1750	799	109	9881	2	4	0	10	1	1	0	2	0.08	0.04	0.0	0.44	0.03	0.05	0.0	0.13	0.13	0.13	0.0	0.27
mir-148	2488	2470	709	6474	2	2	1	18	1	0	0	1	0.11	0.11	0.03	0.29	0.03	0.03	0.01	0.23	0.13	0.0	0.0	0.13
mir-130	2143	3120	1025	5507	2	6	0	10	0	1	0	1	0.1	0.14	0.05	0.25	0.03	0.08	0.0	0.13	0.0	0.13	0.0	0.13
mir-29	2186	3437	1022	5106	2	4	3	22	0	0	0	2	0.1	0.15	0.05	0.23	0.03	0.05	0.04	0.28	0.0	0.0	0.0	0.27
mir-27	2416	2603	506	5529	6	3	0	7	0	0	0	0	0.11	0.12	0.02	0.25	0.08	0.04	0.0	0.09	0.0	0.0	0.0	0.0
mir-484	1210	1506	287	6566	18	26	4	180	1	0	0	1	0.05	0.07	0.01	0.29	0.23	0.33	0.05	2.31	0.13	0.0	0.0	0.13
mir-193	1985	1861	312	5437	15	14	0	52	0	0	0	2	0.09	0.08	0.01	0.24	0.19	0.18	0.0	0.67	0.0	0.0	0.0	0.27
mir-31	1660	2455	820	4334	4	2	1	17	0	0	0	0	0.07	0.11	0.04	0.19	0.05	0.03	0.01	0.22	0.0	0.0	0.0	0.0
mir-23	1411	2501	302	4929	4	1	0	12	0	0	0	1	0.06	0.11	0.01	0.22	0.05	0.01	0.0	0.15	0.0	0.0	0.0	0.13
mir-324	1607	823	198	6078	24	20	2	76	1	1	0	1	0.07	0.04	0.01	0.27	0.31	0.26	0.03	0.98	0.13	0.13	0.0	0.13
mir-28	1506	959	192	5834	7	8	4	30	0	0	0	3	0.07	0.04	0.01	0.26	0.09	0.1	0.05	0.39	0.0	0.0	0.0	0.4
mir-32	1153	2670	479	3926	0	2	0	1	0	0	0	2	0.05	0.12	0.02	0.18	0.0	0.03	0.0	0.01	0.0	0.0	0.0	0.27
mir-339	1077	707	145	5981	1	4	0	21	0	0	0	0	0.05	0.03	0.01	0.27	0.01	0.05	0.0	0.27	0.0	0.0	0.0	0.0
mir-191	920	1087	387	5159	0	0	0	6	1	0	0	3	0.04	0.05	0.02	0.23	0.0	0.0	0.0	0.08	0.13	0.0	0.0	0.4
mir-101	1393	1775	268	3949	0	3	0	4	0	0	0	1	0.06	0.08	0.01	0.18	0.0	0.04	0.0	0.05	0.0	0.0	0.0	0.13
mir-24	902	1326	431	3674	1	2	0	0	0	0	0	0	0.04	0.06	0.02	0.16	0.01	0.03	0.0	0.0	0.0	0.0	0.0	0.0
mir-33	1374	1251	198	3227	2	2	0	5	0	0	0	0	0.06	0.06	0.01	0.14	0.03	0.03	0.0	0.06	0.0	0.0	0.0	0.0
mir-1307	751	354	75	4316	5	5	0	9	0	0	0	1	0.03	0.02	0.0	0.19	0.06	0.06	0.0	0.12	0.0	0.0	0.0	0.13
mir-744	915	1019	194	3144	44	46	17	133	0	0	0	2	0.04	0.05	0.01	0.14	0.57	0.59	0.22	1.71	0.0	0.0	0.0	0.27
mir-503	1926	860	63	2532	0	4	0	2	0	1	0	1	0.09	0.04	0.0	0.11	0.0	0.05	0.0	0.03	0.0	0.13	0.0	0.13
mir-128	1063	1139	325	2739	2	2	0	7	0	0	0	1	0.05	0.05	0.01	0.12	0.03	0.03	0.0	0.09	0.0	0.0	0.0	0.13
mir-425	816	1140	331	2842	0	0	0	6	0	0	0	1	0.04	0.05	0.01	0.13	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.13
mir-185	815	1036	372	2490	3	5	0	14	1	0	1	0	0.04	0.05	0.02	0.11	0.04	0.06	0.0	0.18	0.13	0.0	0.13	0.0
mir-186	874	743	130	2740	1	1	0	10	0	0	0	1	0.04	0.03	0.01	0.12	0.01	0.01	0.0	0.13	0.0	0.0	0.0	0.13
mir-454	778	969	281	2415	2	1	1	3	0	0	0	2	0.03	0.04	0.01	0.11	0.03	0.01	0.01	0.04	0.0	0.0	0.0	0.27
mir-9	1011	831	147	1975	2	1	1	0	0	0	0	0	0.05	0.04	0.01	0.09	0.03	0.01	0.01	0.0	0.0	0.0	0.0	0.0
mir-455	534	312	68	3032	2	3	0	6	0	0	0	0	0.02	0.01	0.0	0.14	0.03	0.04	0.0	0.08	0.0	0.0	0.0	0.0
mir-1296	594	462	69	2303	2	2	1	14	0	0	1	0	0.03	0.02	0.0	0.1	0.03	0.03	0.01	0.18	0.0	0.0	0.13	0.0
mir-210	545	488	94	2263	1	0	0	2	0	1	0	1	0.02	0.02	0.0	0.1	0.01	0.0	0.0	0.03	0.0	0.13	0.0	0.13
mir-340	658	895	210	1487	0	0	0	1	0	0	0	1	0.03	0.04	0.01	0.07	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.13
mir-365	622	991	371	1253	0	1	1	8	0	0	0	0	0.03	0.04	0.02	0.06	0.0	0.01	0.01	0.1	0.0	0.0	0.0	0.0
mir-140	769	367	94	1916	0	1	0	2	0	0	0	1	0.03	0.02	0.0	0.09	0.0	0.01	0.0	0.03	0.0	0.0	0.0	0.13
mir-500	453	535	130	1929	1	2	1	8	0	0	0	0	0.02	0.02	0.01	0.09	0.01	0.03	0.01	0.1	0.0	0.0	0.0	0.0
mir-1271	581	672	128	1481	1	0	0	1	0	0	0	0	0.03	0.03	0.01	0.07	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0
mir-188	411	606	126	1603	0	2	0	8	0	1	0	0	0.02	0.03	0.01	0.07	0.0	0.03	0.0	0.1	0.0	0.13	0.0	0.0
mir-331	671	334	41	1565	26	17	4	52	0	0	0	0	0.03	0.01	0.0	0.07	0.33	0.22	0.05	0.67	0.0	0.0	0.0	0.0
mir-361	452	529	128	1558	5	2	0	8	0	0	0	0	0.02	0.02	0.01	0.07	0.06	0.03	0.0	0.1	0.0	0.0	0.0	0.0
mir-182	407	618	76	1524	1	0	0	2	0	0	0	0	0.02	0.03	0.0	0.07	0.01	0.0	0.0	0.03	0.0	0.0	0.0	0.0
mir-96	373	795	136	1165	2	2	0	1	0	1	0	0	0.02	0.04	0.01	0.05	0.03	0.03	0.0	0.01	0.0	0.13	0.0	0.0
mir-652	389	286	39	1750	3	0	0	7	0	0	0	0	0.02	0.01	0.0	0.08	0.04	0.0	0.0	0.09	0.0	0.0	0.0	0.0
mir-21	281	310	64	1781	1	0	0	0	0	0	0	0	0.01	0.01	0.0	0.08	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir-22	379	860	140	1028	0	0	0	0	0	0	0	0	0.02	0.04	0.01	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir-7	314	868	230	905	2	5	1	10	0	15	2	1	0.01	0.04	0.01	0.04	0.03	0.06	0.01	0.13	0.0	2.0	0.27	0.13
mir-615	253	130	30	1606	2	11	4	135	0	0	0	1	0.01	0.01	0.0	0.07	0.03	0.14	0.05	1.74	0.0	0.0	0.0	0.13
mir-1180	233	310	60	1404	1	4	0	15	1	0	0	1	0.01	0.01	0.0	0.06	0.01	0.05	0.0	0.19	0.13	0.0	0.0	0.13
mir-708	449	299	44	1139	0	1	1	3	0	0	0	1	0.02	0.01	0.0	0.05	0.0	0.01	0.01	0.04	0.0	0.0	0.0	0.13
mir-95	350	507	91	878	0	2	0	8	0	0	0	0	0.02	0.02	0.0	0.04	0.0	0.03	0.0	0.1	0.0	0.0	0.0	0.0
mir-183	299	427	112	936	0	1	0	2	0	0	0	1	0.01	0.02	0.01	0.04	0.0	0.01	0.0	0.03	0.0	0.0	0.0	0.13
mir-296	327	240	57	1071	12	8	3	55	0	0	0	0	0.01	0.01	0.0	0.05	0.15	0.1	0.04	0.71	0.0	0.0	0.0	0.0
mir-671	352	305	67	954	2	5	4	9	1	0	0	2	0.02	0.01	0.0	0.04	0.03	0.06	0.05	0.12	0.13	0.0	0.0	0.27
mir-362	289	335	56	995	0	0	0	2	0	0	0	1	0.01	0.02	0.0	0.04	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.13
mir-1301	326	320	78	832	2	2	0	20	0	1	0	1	0.01	0.01	0.0	0.04	0.03	0.03	0.0	0.26	0.0	0.13	0.0	0.13
mir-126	274	145	24	1125	0	0	0	6	0	0	0	0	0.01	0.01	0.0	0.05	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0
mir-590	277	304	63	857	0	0	0	1	0	0	0	0	0.01	0.01	0.0	0.04	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0
mir-194	325	308	86	629	0	0	0	1	0	0	0	0	0.01	0.01	0.0	0.03	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0
mir-345	188	184	28	878	2	0	0	0	0	0	0	0	0.01	0.01	0.0	0.04	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir-505	336	182	45	690	1	2	1	6	0	1	0	0	0.02	0.01	0.0	0.03	0.01	0.03	0.01	0.08	0.0	0.13	0.0	0.0
mir-1277	412	140	89	593	5	1	0	12	0	0	0	0	0.02	0.01	0.0	0.03	0.06	0.01	0.0	0.15	0.0	0.0	0.0	0.0
mir-342	197	237	65	734	4	4	0	9	0	0	0	0	0.01	0.01	0.0	0.03	0.05	0.05	0.0	0.12	0.0	0.0	0.0	0.0
mir-769	222	187	55	733	3	4	2	25	0	0	0	0	0.01	0.01	0.0	0.03	0.04	0.05	0.03	0.32	0.0	0.0	0.0	0.0
mir-149	209	215	34	732	5	5	0	14	0	1	0	0	0.01	0.01	0.0	0.03	0.06	0.06	0.0	0.18	0.0	0.13	0.0	0.0
mir-450	220	149	17	764	0	0	0	1	0	0	0	0	0.01	0.01	0.0	0.03	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0
mir-548	225	245	63	573	2	0	2	10	0	0	0	0	0.01	0.01	0.0	0.03	0.03	0.0	0.03	0.13	0.0	0.0	0.0	0.0
mir-132	155	327	79	479	0	0	0	0	0	0	0	1	0.01	0.01	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13
mir-629	153	96	23	668	0	0	0	1	0	0	0	0	0.01	0.0	0.0	0.03	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0
mir-542	165	200	56	492	0	0	0	0	0	0	0	0	0.01	0.01	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir-625	154	147	26	562	1	0	0	2	0	0	0	1	0.01	0.01	0.0	0.03	0.01	0.0	0.0	0.03	0.0	0.0	0.0	0.13
mir-497	162	354	81	290	0	0	0	0	0	0	0	0	0.01	0.02	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
miR-8485	22	36	7	748	0	1	0	14	0	0	0	33	0.0	0.0	0.0	0.03	0.0	0.01	0.0	0.18	0.0	0.0	0.0	4.39
miR-378c	145	61	10	573	0	0	0	1	0	0	0	0	0.01	0.0	0.0	0.03	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0
mir-192	162	107	26	486	0	0	0	0	0	0	0	0	0.01	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir-935	307	71	23	315	0	0	0	3	0	0	0	2	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.27
mir-582	180	216	43	254	1	0	0	0	0	0	0	0	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir-550	88	172	33	364	0	0	0	0	0	0	0	0	0.0	0.01	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir-491	105	209	49	280	0	0	0	3	0	0	0	0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0
mir-874	82	123	18	411	0	0	0	1	0	1	0	0	0.0	0.01	0.0	0.02	0.0	0.0	0.0	0.01	0.0	0.13	0.0	0.0
miR-1269b	91	122	20	354	0	0	0	0	0	0	0	0	0.0	0.01	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir-551	144	28	3	357	0	1	0	1	0	0	0	0	0.01	0.0	0.0	0.02	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0
mir-330	120	111	6	279	2	0	0	6	0	0	0	0	0.01	0.0	0.0	0.01	0.03	0.0	0.0	0.08	0.0	0.0	0.0	0.0
mir-124	95	144	42	238	1	0	0	1	0	0	0	0	0.0	0.01	0.0	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0
mir-1246	17	4	2	404	1	1	0	56	0	0	0	2	0.0	0.0	0.0	0.02	0.01	0.01	0.0	0.72	0.0	0.0	0.0	0.27
mir-486	87	39	11	341	1	1	0	0	0	0	0	0	0.0	0.0	0.0	0.02	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0
mir-2110	67	70	9	292	0	1	0	1	0	0	0	0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0
mir-940	48	110	28	237	1	4	0	8	0	0	0	0	0.0	0.0	0.0	0.01	0.01	0.05	0.0	0.1	0.0	0.0	0.0	0.0
mir-187	71	24	5	283	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir-190	73	97	30	167	0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0
mir-219	35	132	19	167	0	0	0	1	0	0	0	0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0
mir-8	42	102	23	178	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir-3615	71	44	3	226	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0
mir-1303	39	42	3	242	1	3	0	4	0	0	0	0	0.0	0.0	0.0	0.01	0.01	0.04	0.0	0.05	0.0	0.0	0.0	0.0
mir-1226	48	84	31	135	3	9	2	18	0	0	0	0	0.0	0.0	0.0	0.01	0.04	0.12	0.03	0.23	0.0	0.0	0.0	0.0
mir-346	65	99	12	145	1	0	0	7	0	0	0	0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.09	0.0	0.0	0.0	0.0
mir-138	41	64	10	202	0	2	0	0	0	0	0	0	0.0	0.0	0.0	0.01	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0
mir-760	33	53	6	173	7	2	0	26	0	0	0	1	0.0	0.0	0.0	0.01	0.09	0.03	0.0	0.33	0.0	0.0	0.0	0.13
mir-328	68	36	1	172	3	5	2	10	0	0	0	0	0.0	0.0	0.0	0.01	0.04	0.06	0.03	0.13	0.0	0.0	0.0	0.0
mir-449	51	51	20	170	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0
mir-3200	40	85	26	137	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir-1285	60	32	8	164	2	1	0	2	0	0	0	0	0.0	0.0	0.0	0.01	0.03	0.01	0.0	0.03	0.0	0.0	0.0	0.0
mir-624	42	80	31	104	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir-941	34	39	10	148	2	1	0	3	0	0	0	0	0.0	0.0	0.0	0.01	0.03	0.01	0.0	0.04	0.0	0.0	0.0	0.0
mir-628	25	69	13	123	0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0
mir-574	19	33	0	168	0	0	0	6	0	0	0	1	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.13
mir-375	75	13	1	134	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir-598	35	19	2	153	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
miR-6720-5p	39	49	8	87	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0
mir-129	22	55	12	85	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir-597	16	41	13	103	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir-576	28	35	7	100	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0
miR-3611	15	56	6	82	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
miR-3187-3p	21	17	4	108	0	3	0	3	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04	0.0	0.0	0.0	0.13
miR-9985	35	58	8	53	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
miR-3176	27	8	2	105	1	0	2	1	0	0	0	0	0.0	0.0	0.0	0.0	0.01	0.0	0.03	0.01	0.0	0.0	0.0	0.0
mir-326	39	29	5	67	0	0	0	6	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0
mir-942	39	22	7	74	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0
miR-378f	14	5	1	106	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir-153	18	47	5	55	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir-589	26	10	1	85	0	1	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0
miR-3157-5p	20	34	10	53	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir-1306	19	16	3	75	0	1	0	2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.03	0.0	0.0	0.0	0.0
mir-556	24	33	5	52	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
miR-7706	17	22	5	65	0	1	0	2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.03	0.0	0.0	0.0	0.0
mir-641	24	24	6	55	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
miR-2277-3p	28	17	2	58	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0
mir-3158	17	22	3	62	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir-877	13	19	4	57	2	1	0	5	0	0	0	0	0.0	0.0	0.0	0.0	0.03	0.01	0.0	0.06	0.0	0.0	0.0	0.0
mir-627	18	19	4	59	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
miR-5001-3p	25	14	1	56	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir-1292	22	4	0	68	0	0	0	2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0
mir-1343	12	32	5	40	0	2	1	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.03	0.01	0.01	0.0	0.0	0.0	0.0
miR-1273h-5p	1	0	0	90	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0
miR-3177-3p	10	12	7	56	0	0	1	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0
mir-561	13	27	5	38	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
miR-4664-5p	16	26	8	30	0	1	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0
mir-199	13	15	4	47	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0
miR-4467	10	15	5	48	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0
miR-3657	11	19	6	41	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ocu-miR-103a-5p	16	18	3	34	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
miR-3195	4	4	1	61	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0
miR-5010-3p	13	15	7	34	0	0	0	2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0
mir-618	17	10	5	39	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
miR-4497	3	1	0	63	0	0	0	3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0
mir-338	18	11	0	36	1	1	0	2	0	0	0	0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.03	0.0	0.0	0.0	0.0
mir-1304	6	5	1	57	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
miR-4473	22	17	1	26	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0
mir-577	13	9	1	43	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0
miR-2277-5p	8	17	1	41	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
miR-3909	23	7	0	32	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir-4677	4	15	3	38	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13
mir-139	13	13	4	30	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0
mir-2278	14	8	1	36	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir-1910	11	8	2	37	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0
