noncodingRNA_fam	Manakov22	Hejret23	Klimentova22
mir-4435	1	0	0
mir-802	1	0	0
mir-3689	1	0	0
mir-563	1	0	0
mir-568	1	0	0
mir-329	1	0	0
mir-6129	1	0	0
mir-485	1	0	0
mir-384	1	0	0
mir-1912	1	0	0
mir-607	1	0	0
mir-634	0	1	0
mir-373	1	0	0
mir-431	1	0	0
mir-662	1	0	0
mir-637	1	0	0
mir-1469	1	0	0
mir-1181	1	0	0
mir-6134	1	0	0
mir-3937	1	0	0
mir-1251	1	0	0
mir-368	1	0	0
mir-635	1	0	0
mir-596	1	0	0
mir-3121	1	0	0
mir-4515	1	0	0
mir-670	1	0	0
mir-4662	1	0	0
mir-1249	0	1	0
mir-889	1	0	0
mir-613	1	0	0
mir-765	1	0	0
