noncodingRNA_fam	mean_total_interactions	std_total_interactions	median_total_interactions	min_total_interactions	max_total_interactions	q1_total_interactions	q3_total_interactions	iqr_total_interactions	variance_total_interactions	mean_perfect_matches	std_perfect_matches	median_perfect_matches	min_perfect_matches	max_perfect_matches	q1_perfect_matches	q3_perfect_matches	iqr_perfect_matches	variance_perfect_matches	mean_percentage	std_percentage	median_percentage	min_percentage	max_percentage	q1_percentage	q3_percentage	iqr_percentage	variance_percentage
mir-1277	1.0		1.0	1	1	1.0	1.0	0.0		0.0		0.0	0	0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	
mir-128	8.5	9.192388155425117	8.5	2	15	5.25	11.75	6.5	84.5	3.5	3.5355339059327378	3.5	1	6	2.25	4.75	2.5	12.5	45.0	7.0710678118654755	45.0	40.0	50.0	42.5	47.5	5.0	50.0
mir-1296	5.0		5.0	5	5	5.0	5.0	0.0		0.0		0.0	0	0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	
mir-130	15.5	10.606601717798213	15.5	8	23	11.75	19.25	7.5	112.5	4.5	3.5355339059327378	4.5	2	7	3.25	5.75	2.5	12.5	27.717391304347828	3.842971636883413	27.717391304347828	25.0	30.434782608695656	26.358695652173914	29.076086956521742	2.717391304347828	14.768431001890379
mir-1301	3.0		3.0	3	3	3.0	3.0	0.0		2.0		2.0	2	2	2.0	2.0	0.0		66.66666666666666		66.66666666666666	66.66666666666666	66.66666666666666	66.66666666666666	66.66666666666666	0.0	
mir-1307	8.5	2.1213203435596424	8.5	7	10	7.75	9.25	1.5	4.5	0.5	0.7071067811865476	0.5	0	1	0.25	0.75	0.5	0.5	5.0	7.0710678118654755	5.0	0.0	10.0	2.5	7.5	5.0	50.0
mir-132	1.5	0.7071067811865476	1.5	1	2	1.25	1.75	0.5	0.5	0.5	0.7071067811865476	0.5	0	1	0.25	0.75	0.5	0.5	50.0	70.71067811865476	50.0	0.0	100.0	25.0	75.0	50.0	5000.0
mir-138	2.0		2.0	2	2	2.0	2.0	0.0		1.0		1.0	1	1	1.0	1.0	0.0		50.0		50.0	50.0	50.0	50.0	50.0	0.0	
mir-140	4.5	3.5355339059327378	4.5	2	7	3.25	5.75	2.5	12.5	0.5	0.7071067811865476	0.5	0	1	0.25	0.75	0.5	0.5	7.142857142857142	10.101525445522107	7.142857142857142	0.0	14.285714285714285	3.571428571428571	10.714285714285714	7.142857142857142	102.0408163265306
mir-148	33.0		33.0	33	33	33.0	33.0	0.0		8.0		8.0	8	8	8.0	8.0	0.0		24.242424242424242		24.242424242424242	24.242424242424242	24.242424242424242	24.242424242424242	24.242424242424242	0.0	
mir-149	1.5	0.7071067811865476	1.5	1	2	1.25	1.75	0.5	0.5	1.0	0.0	1.0	1	1	1.0	1.0	0.0	0.0	75.0	35.35533905932738	75.0	50.0	100.0	62.5	87.5	25.0	1250.0
mir-15	184.0	103.23759005323593	184.0	111	257	147.5	220.5	73.0	10658.0	106.5	65.76093065034893	106.5	60	153	83.25	129.75	46.5	4324.5	56.79356399200758	3.874252108509743	56.79356399200758	54.054054054054056	59.53307392996109	55.42380902303081	58.163318960984334	2.739509937953521	15.00982940029219
mir-17	659.5	649.8311319104372	659.5	200	1119	429.75	889.25	459.5	422280.5	313.5	313.2483040656405	313.5	92	535	202.75	424.25	221.5	98124.5	46.905272564789996	1.2802487387702814	46.905272564789996	46.0	47.810545129579985	46.452636282395	47.35790884718499	0.9052725647899891	1.6390368331228964
mir-181	24.0	22.627416997969522	24.0	8	40	16.0	32.0	16.0	512.0	8.5	7.7781745930520225	8.5	3	14	5.75	11.25	5.5	60.5	36.25	1.7677669529663689	36.25	35.0	37.5	35.625	36.875	1.25	3.125
mir-182	3.0		3.0	3	3	3.0	3.0	0.0		0.0		0.0	0	0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	
mir-183	6.0		6.0	6	6	6.0	6.0	0.0		2.0		2.0	2	2	2.0	2.0	0.0		33.33333333333333		33.33333333333333	33.33333333333333	33.33333333333333	33.33333333333333	33.33333333333333	0.0	
mir-185	15.0		15.0	15	15	15.0	15.0	0.0		7.0		7.0	7	7	7.0	7.0	0.0		46.666666666666664		46.666666666666664	46.666666666666664	46.666666666666664	46.666666666666664	46.666666666666664	0.0	
mir-186	6.0		6.0	6	6	6.0	6.0	0.0		1.0		1.0	1	1	1.0	1.0	0.0		16.666666666666664		16.666666666666664	16.666666666666664	16.666666666666664	16.666666666666664	16.666666666666664	0.0	
mir-188	6.0		6.0	6	6	6.0	6.0	0.0		2.0		2.0	2	2	2.0	2.0	0.0		33.33333333333333		33.33333333333333	33.33333333333333	33.33333333333333	33.33333333333333	33.33333333333333	0.0	
mir-19	247.0	295.57063453597686	247.0	38	456	142.5	351.5	209.0	87362.0	104.0	113.13708498984761	104.0	24	184	64.0	144.0	80.0	12800.0	51.754385964912274	16.12699676390372	51.754385964912274	40.35087719298245	63.1578947368421	46.05263157894736	57.45614035087719	11.403508771929829	260.08002462296105
mir-191	14.0	16.97056274847714	14.0	2	26	8.0	20.0	12.0	288.0	6.0	8.48528137423857	6.0	0	12	3.0	9.0	6.0	72.0	23.076923076923077	32.63569759322527	23.076923076923077	0.0	46.15384615384615	11.538461538461538	34.61538461538461	23.076923076923073	1065.0887573964496
mir-192	1.0		1.0	1	1	1.0	1.0	0.0		1.0		1.0	1	1	1.0	1.0	0.0		100.0		100.0	100.0	100.0	100.0	100.0	0.0	
mir-193	14.5	13.435028842544403	14.5	5	24	9.75	19.25	9.5	180.5	6.0	5.656854249492381	6.0	2	10	4.0	8.0	4.0	32.0	40.833333333333336	1.1785113019775826	40.833333333333336	40.0	41.66666666666667	40.41666666666667	41.25	0.8333333333333286	1.3888888888888968
mir-194	5.0		5.0	5	5	5.0	5.0	0.0		2.0		2.0	2	2	2.0	2.0	0.0		40.0		40.0	40.0	40.0	40.0	40.0	0.0	
mir-196	36.0	45.254833995939045	36.0	4	68	20.0	52.0	32.0	2048.0	12.5	14.849242404917497	12.5	2	23	7.25	17.75	10.5	220.5	41.911764705882355	11.438492048605912	41.911764705882355	33.82352941176471	50.0	37.867647058823536	45.955882352941174	8.088235294117638	130.8391003460207
mir-21	3.0	1.4142135623730951	3.0	2	4	2.5	3.5	1.0	2.0	0.5	0.7071067811865476	0.5	0	1	0.25	0.75	0.5	0.5	12.5	17.67766952966369	12.5	0.0	25.0	6.25	18.75	12.5	312.5
mir-210	4.0	0.0	4.0	4	4	4.0	4.0	0.0	0.0	1.5	0.7071067811865476	1.5	1	2	1.25	1.75	0.5	0.5	37.5	17.67766952966369	37.5	25.0	50.0	31.25	43.75	12.5	312.5
mir-218	11.0	14.142135623730951	11.0	1	21	6.0	16.0	10.0	200.0	4.5	6.363961030678928	4.5	0	9	2.25	6.75	4.5	40.5	21.428571428571427	30.30457633656632	21.428571428571427	0.0	42.857142857142854	10.714285714285714	32.14285714285714	21.428571428571423	918.3673469387754
mir-22	2.0		2.0	2	2	2.0	2.0	0.0		1.0		1.0	1	1	1.0	1.0	0.0		50.0		50.0	50.0	50.0	50.0	50.0	0.0	
mir-221	72.0	70.71067811865476	72.0	22	122	47.0	97.0	50.0	5000.0	23.5	28.991378028648448	23.5	3	44	13.25	33.75	20.5	840.5	24.850968703427718	15.859846582500062	24.850968703427718	13.636363636363635	36.0655737704918	19.243666169895675	30.45827123695976	11.214605067064085	251.53473362043889
mir-23	11.5	7.7781745930520225	11.5	6	17	8.75	14.25	5.5	60.5	4.0	4.242640687119285	4.0	1	7	2.5	5.5	3.0	18.0	28.921568627450977	17.331048558493812	28.921568627450977	16.666666666666664	41.17647058823529	22.79411764705882	35.049019607843135	12.254901960784316	300.3652441368704
mir-24	15.0		15.0	15	15	15.0	15.0	0.0		2.0		2.0	2	2	2.0	2.0	0.0		13.333333333333334		13.333333333333334	13.333333333333334	13.333333333333334	13.333333333333334	13.333333333333334	0.0	
mir-25	192.5	167.58430714121175	192.5	74	311	133.25	251.75	118.5	28084.5	61.5	34.64823227814083	61.5	37	86	49.25	73.75	24.5	1200.5	38.826366559485535	15.801903952561105	38.826366559485535	27.652733118971064	50.0	33.239549839228296	44.41318327974277	11.173633440514472	249.7001685259663
mir-26	28.5	38.890872965260115	28.5	1	56	14.75	42.25	27.5	1512.5	11.5	14.849242404917497	11.5	1	22	6.25	16.75	10.5	220.5	69.64285714285714	42.93148314346896	69.64285714285714	39.285714285714285	100.0	54.464285714285715	84.82142857142857	30.357142857142854	1843.1122448979595
mir-27	26.0		26.0	26	26	26.0	26.0	0.0		14.0		14.0	14	14	14.0	14.0	0.0		53.84615384615385		53.84615384615385	53.84615384615385	53.84615384615385	53.84615384615385	53.84615384615385	0.0	
mir-28	9.5	2.1213203435596424	9.5	8	11	8.75	10.25	1.5	4.5	2.5	2.1213203435596424	2.5	1	4	1.75	3.25	1.5	4.5	29.545454545454547	28.927095593995126	29.545454545454547	9.090909090909092	50.0	19.31818181818182	39.77272727272727	20.454545454545453	836.7768595041322
mir-29	9.5	12.020815280171307	9.5	1	18	5.25	13.75	8.5	144.5	3.5	4.949747468305833	3.5	0	7	1.75	5.25	3.5	24.5	19.444444444444446	27.498597046143516	19.444444444444446	0.0	38.88888888888889	9.722222222222223	29.16666666666667	19.44444444444445	756.172839506173
mir-296	1.0		1.0	1	1	1.0	1.0	0.0		1.0		1.0	1	1	1.0	1.0	0.0		100.0		100.0	100.0	100.0	100.0	100.0	0.0	
mir-30	64.0	76.36753236814714	64.0	10	118	37.0	91.0	54.0	5832.0	27.0	32.526911934581186	27.0	4	50	15.5	38.5	23.0	1058.0	41.186440677966104	1.6778804977307913	41.186440677966104	40.0	42.3728813559322	40.59322033898305	41.77966101694915	1.1864406779660968	2.815282964665328
mir-31	18.5	21.920310216782973	18.5	3	34	10.75	26.25	15.5	480.5	10.0	12.727922061357855	10.0	1	19	5.5	14.5	9.0	162.0	44.6078431372549	15.944564673814309	44.6078431372549	33.33333333333333	55.88235294117647	38.970588235294116	50.245098039215684	11.274509803921568	254.22914263744718
mir-32	11.0		11.0	11	11	11.0	11.0	0.0		4.0		4.0	4	4	4.0	4.0	0.0		36.36363636363637		36.36363636363637	36.36363636363637	36.36363636363637	36.36363636363637	36.36363636363637	0.0	
mir-320	38.0	43.840620433565945	38.0	7	69	22.5	53.5	31.0	1922.0	9.0	11.313708498984761	9.0	1	17	5.0	13.0	8.0	128.0	19.461697722567287	7.319945975016024	19.461697722567287	14.285714285714285	24.637681159420293	16.873706004140786	22.04968944099379	5.175983436853006	53.58160907715329
mir-322	18.0	18.384776310850235	18.0	5	31	11.5	24.5	13.0	338.0	10.0	11.313708498984761	10.0	2	18	6.0	14.0	8.0	128.0	49.03225806451613	12.773541853692477	49.03225806451613	40.0	58.06451612903226	44.516129032258064	53.5483870967742	9.032258064516135	163.16337148803345
mir-324	11.5	7.7781745930520225	11.5	6	17	8.75	14.25	5.5	60.5	3.0	1.4142135623730951	3.0	2	4	2.5	3.5	1.0	2.0	28.431372549019606	6.932419423397524	28.431372549019606	23.52941176470588	33.33333333333333	25.98039215686274	30.882352941176467	4.901960784313726	48.05843906189926
mir-328	2.0		2.0	2	2	2.0	2.0	0.0		0.0		0.0	0	0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	
mir-33	7.0	4.242640687119285	7.0	4	10	5.5	8.5	3.0	18.0	3.5	0.7071067811865476	3.5	3	4	3.25	3.75	0.5	0.5	57.5	24.748737341529164	57.5	40.0	75.0	48.75	66.25	17.5	612.5
mir-330	1.0		1.0	1	1	1.0	1.0	0.0		0.0		0.0	0	0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	
mir-331	4.0		4.0	4	4	4.0	4.0	0.0		2.0		2.0	2	2	2.0	2.0	0.0		50.0		50.0	50.0	50.0	50.0	50.0	0.0	
mir-339	10.5	13.435028842544403	10.5	1	20	5.75	15.25	9.5	180.5	3.0	4.242640687119285	3.0	0	6	1.5	4.5	3.0	18.0	15.0	21.213203435596427	15.0	0.0	30.0	7.5	22.5	15.0	450.0
mir-34	23.0	28.284271247461902	23.0	3	43	13.0	33.0	20.0	800.0	9.5	12.020815280171307	9.5	1	18	5.25	13.75	8.5	144.5	37.5968992248062	6.029592707792271	37.5968992248062	33.33333333333333	41.86046511627907	35.46511627906976	39.72868217054264	4.263565891472879	36.355988221861736
mir-340	4.0		4.0	4	4	4.0	4.0	0.0		2.0		2.0	2	2	2.0	2.0	0.0		50.0		50.0	50.0	50.0	50.0	50.0	0.0	
mir-342	4.0	0.0	4.0	4	4	4.0	4.0	0.0	0.0	0.5	0.7071067811865476	0.5	0	1	0.25	0.75	0.5	0.5	12.5	17.67766952966369	12.5	0.0	25.0	6.25	18.75	12.5	312.5
mir-345	1.0		1.0	1	1	1.0	1.0	0.0		0.0		0.0	0	0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	
mir-346	1.0		1.0	1	1	1.0	1.0	0.0		1.0		1.0	1	1	1.0	1.0	0.0		100.0		100.0	100.0	100.0	100.0	100.0	0.0	
mir-361	4.0		4.0	4	4	4.0	4.0	0.0		3.0		3.0	3	3	3.0	3.0	0.0		75.0		75.0	75.0	75.0	75.0	75.0	0.0	
mir-362	2.0	0.0	2.0	2	2	2.0	2.0	0.0	0.0	1.0	0.0	1.0	1	1	1.0	1.0	0.0	0.0	50.0	0.0	50.0	50.0	50.0	50.0	50.0	0.0	0.0
mir-365	5.0		5.0	5	5	5.0	5.0	0.0		3.0		3.0	3	3	3.0	3.0	0.0		60.0		60.0	60.0	60.0	60.0	60.0	0.0	
mir-374	7.0	7.0710678118654755	7.0	2	12	4.5	9.5	5.0	50.0	3.0	4.242640687119285	3.0	0	6	1.5	4.5	3.0	18.0	25.0	35.35533905932738	25.0	0.0	50.0	12.5	37.5	25.0	1250.0
mir-375	1.0		1.0	1	1	1.0	1.0	0.0		0.0		0.0	0	0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	
mir-378	20.5	19.091883092036785	20.5	7	34	13.75	27.25	13.5	364.5	2.5	2.1213203435596424	2.5	1	4	1.75	3.25	1.5	4.5	13.025210084033613	1.7826221374450784	13.025210084033613	11.76470588235294	14.285714285714285	12.394957983193276	13.655462184873949	1.2605042016806731	3.1777416849092597
mir-3943	1.0		1.0	1	1	1.0	1.0	0.0		0.0		0.0	0	0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	
mir-423	35.0	9.899494936611665	35.0	28	42	31.5	38.5	7.0	98.0	9.0	1.4142135623730951	9.0	8	10	8.5	9.5	1.0	2.0	27.38095238095238	11.785113019775793	27.38095238095238	19.047619047619047	35.714285714285715	23.214285714285715	31.547619047619047	8.333333333333332	138.88888888888889
mir-425	5.0	4.242640687119285	5.0	2	8	3.5	6.5	3.0	18.0	1.5	2.1213203435596424	1.5	0	3	0.75	2.25	1.5	4.5	18.75	26.516504294495533	18.75	0.0	37.5	9.375	28.125	18.75	703.125
mir-4429	1.0		1.0	1	1	1.0	1.0	0.0		0.0		0.0	0	0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	
mir-450	3.0		3.0	3	3	3.0	3.0	0.0		1.0		1.0	1	1	1.0	1.0	0.0		33.33333333333333		33.33333333333333	33.33333333333333	33.33333333333333	33.33333333333333	33.33333333333333	0.0	
mir-454	1.5	0.7071067811865476	1.5	1	2	1.25	1.75	0.5	0.5	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir-455	5.0	5.656854249492381	5.0	1	9	3.0	7.0	4.0	32.0	1.0	1.4142135623730951	1.0	0	2	0.5	1.5	1.0	2.0	11.11111111111111	15.713484026367722	11.11111111111111	0.0	22.22222222222222	5.555555555555555	16.666666666666664	11.111111111111109	246.91358024691357
mir-4766	1.0		1.0	1	1	1.0	1.0	0.0		1.0		1.0	1	1	1.0	1.0	0.0		100.0		100.0	100.0	100.0	100.0	100.0	0.0	
mir-484	15.0	16.97056274847714	15.0	3	27	9.0	21.0	12.0	288.0	2.0	1.4142135623730951	2.0	1	3	1.5	2.5	1.0	2.0	22.22222222222222	15.713484026367718	22.22222222222222	11.11111111111111	33.33333333333333	16.666666666666664	27.777777777777775	11.11111111111111	246.91358024691345
mir-486	2.0		2.0	2	2	2.0	2.0	0.0		0.0		0.0	0	0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	
mir-497	1.0		1.0	1	1	1.0	1.0	0.0		0.0		0.0	0	0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	
mir-500	1.0	0.0	1.0	1	1	1.0	1.0	0.0	0.0	0.5	0.7071067811865476	0.5	0	1	0.25	0.75	0.5	0.5	50.0	70.71067811865476	50.0	0.0	100.0	25.0	75.0	50.0	5000.0
mir-503	10.5	9.192388155425117	10.5	4	17	7.25	13.75	6.5	84.5	6.0	4.242640687119285	6.0	3	9	4.5	7.5	3.0	18.0	63.970588235294116	15.59794370264443	63.970588235294116	52.94117647058824	75.0	58.45588235294118	69.48529411764706	11.029411764705877	243.29584775086505
mir-505	1.5	0.7071067811865476	1.5	1	2	1.25	1.75	0.5	0.5	0.5	0.7071067811865476	0.5	0	1	0.25	0.75	0.5	0.5	50.0	70.71067811865476	50.0	0.0	100.0	25.0	75.0	50.0	5000.0
mir-542	1.0		1.0	1	1	1.0	1.0	0.0		0.0		0.0	0	0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	
mir-548	1.0		1.0	1	1	1.0	1.0	0.0		1.0		1.0	1	1	1.0	1.0	0.0		100.0		100.0	100.0	100.0	100.0	100.0	0.0	
mir-574	1.0	0.0	1.0	1	1	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir-576	1.0		1.0	1	1	1.0	1.0	0.0		1.0		1.0	1	1	1.0	1.0	0.0		100.0		100.0	100.0	100.0	100.0	100.0	0.0	
mir-582	2.0		2.0	2	2	2.0	2.0	0.0		2.0		2.0	2	2	2.0	2.0	0.0		100.0		100.0	100.0	100.0	100.0	100.0	0.0	
mir-590	2.0		2.0	2	2	2.0	2.0	0.0		0.0		0.0	0	0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	
mir-615	4.0		4.0	4	4	4.0	4.0	0.0		2.0		2.0	2	2	2.0	2.0	0.0		50.0		50.0	50.0	50.0	50.0	50.0	0.0	
mir-625	2.5	0.7071067811865476	2.5	2	3	2.25	2.75	0.5	0.5	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir-652	5.0		5.0	5	5	5.0	5.0	0.0		1.0		1.0	1	1	1.0	1.0	0.0		20.0		20.0	20.0	20.0	20.0	20.0	0.0	
mir-671	6.0		6.0	6	6	6.0	6.0	0.0		1.0		1.0	1	1	1.0	1.0	0.0		16.666666666666664		16.666666666666664	16.666666666666664	16.666666666666664	16.666666666666664	16.666666666666664	0.0	
mir-7	1.0		1.0	1	1	1.0	1.0	0.0		0.0		0.0	0	0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	
mir-708	3.5	3.5355339059327378	3.5	1	6	2.25	4.75	2.5	12.5	1.5	0.7071067811865476	1.5	1	2	1.25	1.75	0.5	0.5	66.66666666666666	47.14045207910317	66.66666666666666	33.33333333333333	100.0	50.0	83.33333333333333	33.33333333333333	2222.222222222222
mir-744	9.5	9.192388155425117	9.5	3	16	6.25	12.75	6.5	84.5	4.5	4.949747468305833	4.5	1	8	2.75	6.25	3.5	24.5	41.666666666666664	11.785113019775796	41.666666666666664	33.33333333333333	50.0	37.5	45.83333333333333	8.333333333333329	138.88888888888897
mir-769	1.0		1.0	1	1	1.0	1.0	0.0		0.0		0.0	0	0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	
mir-874	1.5	0.7071067811865476	1.5	1	2	1.25	1.75	0.5	0.5	1.0	1.4142135623730951	1.0	0	2	0.5	1.5	1.0	2.0	50.0	70.71067811865476	50.0	0.0	100.0	25.0	75.0	50.0	5000.0
mir-877	1.0		1.0	1	1	1.0	1.0	0.0		0.0		0.0	0	0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	
mir-9	6.0	7.0710678118654755	6.0	1	11	3.5	8.5	5.0	50.0	4.0	5.656854249492381	4.0	0	8	2.0	6.0	4.0	32.0	36.36363636363637	51.42594772265801	36.36363636363637	0.0	72.72727272727273	18.181818181818183	54.54545454545455	36.36363636363636	2644.6280991735543
mir-95	2.0	1.4142135623730951	2.0	1	3	1.5	2.5	1.0	2.0	1.0	1.4142135623730951	1.0	0	2	0.5	1.5	1.0	2.0	33.33333333333333	47.14045207910316	33.33333333333333	0.0	66.66666666666666	16.666666666666664	49.99999999999999	33.33333333333333	2222.2222222222217
mir-96	5.0		5.0	5	5	5.0	5.0	0.0		1.0		1.0	1	1	1.0	1.0	0.0		20.0		20.0	20.0	20.0	20.0	20.0	0.0	
