miRNA Family	Occurrences
miR-6800-5p	1
miR-6768-5p	1
miR-4530	1
miR-6894-5p	1
miR-2276-3p	1
miR-4298	1
miR-6773-3p	1
miR-3197	1
miR-5008-5p	1
miR-4661-5p	1
mir-1205	1
mir-3940	1
mir-582	1
miR-6880-5p	1
miR-6874-3p	1
miR-3974	1
mir-4444	1
miR-4639-3p	1
miR-6078	1
mir-1182	1
miR-5190	1
miR-4487	1
miR-4310	1
miR-8075	1
miR-6872-5p	1
miR-4713-3p	1
mir-3174	1
miR-4265	1
mir-3689	1
miR-5699-3p	1
mir-136	1
mir-3173	1
miR-4725-3p	1
mir-1263	1
mir-4654	1
miR-4694-5p	1
mir-649	1
miR-6835-3p	1
miR-6507-5p	1
miR-4282	1
mir-451	1
mir-616	1
miR-7844-5p	1
miR-4493	1
miR-7853-5p	1
miR-4698	1
miR-3161	1
miR-4311	1
mir-329	1
miR-3942-5p	1
miR-4422	1
mir-4484	1
miR-12135	1
miR-3691-3p	1
miR-4719	1
miR-4799-5p	1
miR-5197-5p	1
mir-3529	1
mir-4524	1
mir-1911	1
mir-3130	1
miR-7108-3p	1
miR-6759-3p	1
mir-6505	1
miR-4511	1
miR-6780a-5p	1
miR-2467-3p	1
miR-7515	1
mir-433	1
miR-6806-3p	1
miR-7847-3p	1
mir-4428	1
miR-4756-5p	1
miR-3616-3p	1
miR-4278	1
mir-5681	1
miR-4802-5p	1
miR-6760-5p	1
miR-6832-5p	1
miR-6742-5p	1
mir-216	1
mir-1270	1
mir-633	1
mir-23c	1
miR-5092	1
mir-5583	1
miR-4695-3p	1
miR-3675-3p	1
mir-4743	1
miR-4790-3p	1
miR-4761-3p	1
miR-3924	1
miR-6847-3p	1
mir-630	1
mir-3156	1
miR-2113	1
miR-8066	1
mir-488	1
mir-634	1
mir-6862	1
miR-6510-3p	1
mir-1284	1
miR-6501-3p	1
miR-5694	1
miR-4727-5p	1
miR-6871-3p	1
miR-3972	1
mir-1272	1
miR-6795-5p	1
miR-6733-3p	1
mir-2278	1
mir-3926	1
miR-2681-3p	1
miR-4783-5p	1
miR-6830-5p	1
miR-6814-5p	1
miR-6509-3p	1
miR-4707-5p	1
miR-6744-3p	1
miR-3909	1
miR-12125	1
miR-6508-3p	1
mir-3121	1
miR-6825-3p	1
miR-3186-3p	1
miR-4479	1
miR-6771-5p	1
miR-3175	1
miR-10401-5p	1
miR-3059-3p	1
miR-3085-5p	1
miR-7156-3p	1
miR-4490	1
miR-9898	1
mir-337	1
miR-4327	1
mir-370	1
miR-6864-5p	1
miR-3714	1
mir-573	1
miR-7849-3p	1
miR-7850-5p	1
miR-3144-5p	1
miR-4725-5p	1
miR-378f	1
miR-8074	1
mir-3605	1
miR-4468	1
miR-12117	1
miR-4649-5p	1
miR-4787-3p	1
miR-6828-5p	1
miR-6868-5p	1
mir-3910	1
miR-7155-3p	1
mir-1471	1
miR-6746-3p	1
miR-3183	1
miR-4502	1
mir-558	1
miR-6743-3p	1
miR-4268	1
mir-6128	1
miR-7154-3p	1
miR-4653-3p	1
mir-1258	1
miR-6840-5p	1
miR-5189-5p	1
mir-635	1
mir-1204	1
miR-2277-5p	1
miR-6506-5p	1
miR-7843-5p	1
miR-4722-5p	1
mir-920	1
mir-645	1
mir-133	1
miR-4447	1
mir-675	1
miR-6782-5p	1
cli-miR-135-2-3p	1
mir-3618	1
miR-3164	1
mir-627	1
miR-4675	1
miR-6819-5p	1
miR-4787-5p	1
miR-6718-5p	1
miR-6844	1
mir-1276	1
mir-676	1
mir-379	1
mir-3923	1
miR-5579-5p	1
miR-6732-3p	1
miR-12116	1
mir-4423	1
mir-568	1
miR-3713	1
miR-4686	1
miR-4501	1
miR-12123	1
ami-miR-217-3p	1
miR-498-3p	1
miR-6780b-3p	1
mir-3198	1
mir-3160	1
mir-3615	1
miR-6815-3p	1
miR-6074	1
miR-6503-5p	1
mir-3155	1
mir-3192	1
mir-4782	1
mir-597	1
miR-6864-3p	1
miR-12131	1
mir-542	1
miR-4537	1
miR-6735-3p	1
miR-4500	1
miR-2052	1
miR-7158-3p	1
miR-1912-5p	1
mir-550	1
miR-6866-5p	1
miR-4306	1
miR-5001-5p	1
miR-7851-3p	1
miR-3686	1
miR-6879-3p	1
mir-6859	1
miR-3611	1
miR-3177-5p	1
miR-4464	1
miR-4755-5p	1
mir-142	1
miR-5571-5p	1
miR-4713-5p	1
miR-5706	1
miR-4709-3p	1
miR-4312	1
miR-4646-3p	1
miR-7856-5p	1
mir-299	1
miR-7152-5p	1
miR-5707	1
mir-363	1
mir-562	1
mir-1286	1
miR-4440	1
miR-3928-3p	1
miR-4705	1
mir-3116	1
mir-942	1
miR-10399-5p	1
mir-1266	1
miR-4496	1
miR-6803-3p	1
miR-6882-3p	1
miR-6883-5p	1
miR-4274	1
mir-1251	1
miR-6720-3p	1
miR-6893-3p	1
miR-4795-3p	1
miR-4495	1
miR-5003-5p	1
mir-298	1
miR-3936	1
miR-6813-3p	1
miR-4661-3p	1
miR-3978	1
miR-4663	1
miR-5586-5p	1
miR-4256	1
miR-1295b-3p	1
miR-3128	1
miR-4676-3p	1
mir-3129	1
miR-4746-5p	1
miR-4685-5p	1
miR-4326	1
miR-6747-3p	1
miR-6810-3p	1
miR-6766-5p	1
miR-4489	1
miR-8065	1
miR-6823-3p	1
miR-6857-3p	1
mir-3622	1
miR-5699-5p	1
miR-6872-3p	1
miR-4472	1
miR-6892-5p	1
mir-555	1
miR-5690	1
miR-5007-3p	1
miR-3671	1
miR-6777-3p	1
miR-6852-3p	1
mir-642	1
mir-1913	1
miR-10523-5p	1
miR-6765-5p	1
miR-4644	1
miR-12128	1
miR-6886-3p	1
miR-6739-5p	1
mir-608	1
miR-3606-5p	1
mir-137	1
miR-659-3p	1
miR-6734-5p	1
miR-6832-3p	1
miR-4736	1
miR-5088-5p	1
miR-4670-3p	1
mir-596	1
miR-6529-5p	1
miR-11399	1
miR-4728-3p	1
mir-610	1
mir-205	1
miR-6873-5p	1
miR-4454	1
miR-4778-5p	1
miR-4329	1
mir-3199	1
miR-3659	1
miR-4694-3p	1
miR-8087	1
mir-1324	1
mir-199	1
miR-6512-5p	1
miR-5000-3p	1
mir-4526	1
miR-6499-3p	1
mir-6132	1
miR-6515-5p	1
mir-383	1
miR-6802-5p	1
miR-3163	1
miR-4683	1
mir-3200	1
miR-6762-5p	1
miR-4642	1
mir-1206	1
miR-4729	1
miR-6771-3p	1
miR-7151-5p	1
miR-6882-5p	1
mir-1265	1
miR-6801-3p	1
miR-6799-3p	1
mir-875	1
miR-3667-5p	1
miR-3153	1
miR-6075	1
mir-431	1
miR-6734-3p	1
miR-4764-3p	1
miR-4431	1
mir-921	1
miR-4426	1
miR-6716-5p	1
miR-6878-5p	1
miR-3919	1
miR-7160-5p	1
miR-4289	1
mir-4659	1
miR-6784-5p	1
mir-665	1
mir-378_2	1
miR-3677-5p	1
miR-4525	1
mir-493	1
mir-297	1
miR-4711-3p	1
miR-3977	1
miR-4460	1
mir-577	1
mir-572	1
miR-5705	1
mir-1976	1
mir-7973	1
