miRNA Family	Occurrences
mir-676	20
miR-3177-5p	19
mir-1256	19
miR-5010-5p	19
mir-1278	19
mir-3174	19
miR-6820-3p	19
miR-3115	19
mir-3136	19
miR-10394-5p	18
miR-3677-5p	18
miR-9903	18
miR-4761-5p	18
mir-1227	18
miR-4721	17
miR-6742-3p	17
mir-1255	17
mir-2114	17
miR-3131	17
mir-3150	17
mir-133	17
miR-6501-3p	17
miR-6728-3p	17
miR-378g	17
mir-643	17
miR-5088-3p	17
miR-3944-5p	17
mir-4680	16
miR-6835-3p	16
mir-297	16
miR-6807-3p	16
miR-378i	16
miR-3663-3p	15
miR-4289	15
miR-7976	15
mir-642	14
miR-3659	14
miR-6894-3p	14
mir-499	14
mir-198	14
miR-6501-5p	14
mir-3179	14
mir-1284	14
mir-4657	13
miR-10395-5p	13
miR-2467-5p	13
miR-585-3p	13
mir-197	13
mir-616	13
mir-3180	13
mir-592	13
miR-7705	13
miR-4517	13
mir-3661	13
mir-4446	13
miR-548o-3p	12
miR-4778-5p	12
mir-665	12
mir-3605	12
mir-939	12
miR-5581-3p	12
mir-154	12
miR-6871-3p	12
mir-891	12
miR-6876-5p	12
miR-6893-3p	12
mir-632	11
mir-4766	11
mir-1	11
mir-653	11
mir-483	11
miR-10393-5p	11
miR-3654	11
miR-6751-3p	11
miR-196a-1-3p	11
miR-4500	11
miR-4746-5p	11
miR-4254	11
mir-767	11
mir-675	11
miR-5047	10
mir-4444	10
mir-1244	10
mir-214	10
miR-6856-5p	10
miR-6816-3p	10
mir-3943	10
mir-224	10
miR-6885-3p	10
miR-6783-3p	10
miR-4325	10
miR-6735-5p	10
mir-1233	10
miR-5008-5p	10
miR-6807-5p	10
miR-4652-3p	10
miR-4747-3p	10
mir-651	10
miR-6758-5p	10
miR-4747-5p	10
miR-4787-3p	10
miR-5703	9
miR-4800-5p	9
miR-4720-3p	9
miR-4512	9
miR-4685-3p	9
mir-1286	9
miR-3658	9
mir-887	9
mir-3192	9
miR-7112-3p	9
miR-5587-5p	9
miR-4647	9
miR-7113-5p	9
miR-4730	9
miR-6769a-5p	9
mir-743	9
miR-2276-3p	9
miR-6720-3p	9
miR-6815-5p	9
miR-7111-5p	9
mir-4716	8
miR-10226	8
mir-3149	8
mir-3912	8
miR-6515-5p	8
miR-6877-5p	8
miR-3616-3p	8
miR-6726-3p	8
miR-6748-3p	8
miR-4724-5p	8
miR-4726-5p	8
mir-3934	8
miR-4783-3p	8
miR-4749-5p	8
miR-6879-3p	8
mir-943	8
mir-1468	8
miR-10399-3p	8
mir-3138	8
mir-639	7
miR-6882-3p	7
mir-3188	7
miR-4737	7
miR-5000-5p	7
miR-3691-3p	7
mir-4449	7
miR-4664-3p	7
mir-1538	7
mir-6827	7
mir-145	7
miR-4786-5p	7
miR-6509-3p	7
mir-1243	7
miR-4443	7
miR-6833-3p	7
mir-1288	7
mir-1252	7
miR-4655-5p	7
miR-6780b-3p	7
miR-6721-5p	7
miR-3164	7
mir-1182	7
miR-6847-5p	7
miR-5591-3p	7
mir-647	7
miR-7109-5p	7
miR-6741-3p	7
miR-6857-3p	7
mir-451	7
miR-3125	7
miR-4676-3p	7
miR-4324	7
miR-3157-3p	7
miR-5587-3p	7
miR-6804-5p	7
mir-580	7
miR-4661-5p	7
miR-5586-5p	7
miR-5579-5p	7
mir-3648	7
miR-6840-5p	7
miR-4720-5p	6
mir-649	6
miR-10393-3p	6
miR-4697-5p	6
miR-5584-5p	6
miR-4426	6
miR-3917	6
mir-144	6
mir-3160	6
mir-588	6
mir-6505	6
miR-3163	6
miR-3679-3p	6
miR-7854-3p	6
mir-1293	6
mir-489	6
miR-4709-5p	6
miR-6885-5p	6
miR-6808-3p	6
miR-4709-3p	6
miR-10399-5p	6
miR-5004-3p	6
mir-3145	6
miR-3194-3p	6
mir-6859	6
miR-4755-5p	6
mir-4659	6
miR-659-3p	6
miR-4288	6
miR-6759-5p	6
miR-6849-3p	6
mir-5681	6
mir-602	6
mir-1236	6
miR-4761-3p	6
miR-10394-3p	5
mir-3190	5
miR-3139	5
miR-6851-5p	5
mir-493	5
miR-6514-5p	5
miR-5580-3p	5
miR-6762-5p	5
miR-3161	5
miR-6878-3p	5
mir-203	5
miR-6825-5p	5
mir-4667	5
miR-4746-3p	5
mir-4436	5
miR-6837-3p	5
miR-5001-5p	5
miR-3939	5
miR-4731-5p	5
mir-3202	5
miR-12131	5
miR-3614-5p	5
miR-4277	5
miR-6890-3p	5
miR-3614-3p	5
miR-10400-5p	5
miR-6735-3p	5
miR-4723-5p	5
miR-6865-5p	5
miR-6750-5p	5
miR-4700-5p	5
mir-631	5
miR-6889-5p	5
miR-9900	5
miR-6871-5p	5
mir-3680	5
miR-5683	5
miR-3677-3p	5
miR-6889-3p	5
miR-6895-3p	5
miR-5585-5p	5
mir-3140	5
miR-5586-3p	5
miR-6783-5p	5
mir-4738	5
miR-6802-3p	5
nle-miR-4714	5
miR-6882-5p	5
miR-6768-5p	5
miR-4717-3p	5
miR-4690-3p	5
miR-6781-3p	5
miR-12127	4
miR-4646-3p	4
miR-4789-3p	4
miR-7703	4
miR-3916	4
miR-7110-3p	4
mir-302	4
miR-6780a-5p	4
miR-6775-3p	4
miR-6809-3p	4
miR-3184-5p	4
miR-7156-5p	4
miR-5094	4
ami-miR-217-3p	4
miR-6875-3p	4
miR-10397-3p	4
mir-4484	4
miR-6758-3p	4
miR-6740-5p	4
mir-937	4
miR-7161-3p	4
miR-6840-3p	4
miR-6506-5p	4
mir-1273c	4
miR-6843-3p	4
mir-1202	4
miR-5009-5p	4
mir-4526	4
miR-6826-5p	4
mir-1322	4
miR-6883-3p	4
miR-548bc	4
miR-6838-3p	4
mir-630	4
miR-3143	4
miR-6873-5p	4
miR-4725-5p	4
miR-5584-3p	4
mir-3618	4
mir-143	4
miR-3682-3p	4
mir-1294	4
miR-4474-5p	4
mir-572	4
mir-3198	4
mir-3116	4
miR-6818-3p	4
miR-4793-5p	4
miR-4793-3p	4
miR-4468	4
miR-2467-3p	4
miR-4321	4
miR-4700-3p	4
mir-6862	4
miR-3189-5p	4
miR-6851-3p	4
mir-593	4
miR-6737-3p	4
miR-6855-5p	4
miR-4291	4
miR-3059-5p	4
miR-4652-5p	4
miR-4714-3p	4
mir-3155	4
miR-4779	4
mir-5697	4
miR-4533	4
miR-6818-5p	4
miR-5006-3p	4
miR-6757-3p	3
miR-3942-5p	3
miR-4519	3
miR-10524-5p	3
miR-1321	3
miR-6791-5p	3
miR-6826-3p	3
miR-4676-5p	3
miR-7114-5p	3
miR-6766-3p	3
miR-3169	3
miR-4726-3p	3
miR-3922-5p	3
miR-1273h-3p	3
miR-7109-3p	3
miR-4728-3p	3
miR-3144-5p	3
miR-6759-3p	3
mir-1225	3
miR-6777-5p	3
mir-490	3
miR-4323	3
miR-2681-5p	3
mir-4315	3
miR-4800-3p	3
miR-585-5p	3
miR-10400-3p	3
miR-4695-3p	3
miR-6726-5p	3
miR-4312	3
miR-6842-5p	3
mir-1204	3
miR-6864-5p	3
miR-6822-5p	3
mir-1272	3
miR-4471	3
miR-6079	3
mir-584	3
miR-3936	3
miR-101-2-5p	3
miR-4683	3
mir-1238	3
mir-3622	3
miR-6512-5p	3
miR-4751	3
miR-7155-5p	3
mir-876	3
miR-4688	3
miR-6765-3p	3
miR-6787-3p	3
mir-150	3
miR-6824-3p	3
miR-4649-3p	3
mir-298	3
miR-6769a-3p	3
miR-6509-5p	3
miR-3663-5p	3
miR-5689	3
mir-23c	3
miR-4502	3
miR-6739-3p	3
mir-4672	3
mir-1266	3
miR-3175	3
miR-6719-3p	3
mir-3199	3
miR-6762-3p	3
miR-7152-5p	3
mir-610	3
miR-6774-5p	3
mir-4504	3
mir-6770	3
miR-12121	3
miR-5090	3
miR-5002-5p	3
miR-7106-3p	3
miR-4731-3p	3
miR-6753-5p	3
miR-3692-3p	3
miR-6750-3p	3
miR-6848-3p	3
miR-6800-5p	3
miR-6834-3p	3
miR-4501	3
miR-6733-3p	3
miR-4799-5p	3
miR-6764-3p	3
miR-6806-3p	3
mir-4660	3
miR-4644	3
miR-6829-5p	3
miR-3124-5p	3
miR-1973	3
mir-922	3
miR-4745-3p	3
mir-3664	3
miR-7844-5p	2
mir-1207	2
miR-4748	2
mir-562	2
miR-4328	2
miR-6890-5p	2
miR-6760-5p	2
miR-4643	2
mir-544	2
mir-621	2
miR-5189-5p	2
miR-620	2
miR-6733-5p	2
mir-488	2
miR-4804-5p	2
miR-6768-3p	2
miR-4257	2
miR-6870-3p	2
mir-1976	2
miR-10397-5p	2
mir-3688	2
miR-4767	2
miR-3667-3p	2
miR-6745	2
mir-626	2
miR-6084	2
mir-1258	2
miR-4712-5p	2
miR-8054	2
miR-4506	2
mir-146	2
miR-6858-3p	2
miR-3671	2
mir-4776	2
miR-4292	2
miR-5684	2
miR-4539	2
miR-6738-3p	2
miR-7849-3p	2
miR-5192	2
miR-3168	2
mir-217	2
miR-4470	2
mir-4703	2
miR-6740-3p	2
mir-452	2
miR-6792-5p	2
mir-3132	2
miR-4525	2
miR-6864-3p	2
miR-6773-3p	2
miR-499b-3p	2
mir-711	2
miR-6814-3p	2
miR-7843-5p	2
miR-8055	2
miR-4514	2
miR-3059-3p	2
miR-6847-3p	2
miR-4639-3p	2
mir-3926	2
miR-4685-5p	2
miR-6852-5p	2
miR-4314	2
miR-3124-3p	2
miR-7843-3p	2
mir-873	2
mir-564	2
mir-920	2
mir-657	2
miR-4735-3p	2
mir-4637	2
miR-5003-5p	2
mir-504	2
miR-6842-3p	2
miR-4450	2
mir-612	2
miR-6734-3p	2
miR-6855-3p	2
miR-2115-5p	2
miR-6878-5p	2
miR-6832-5p	2
miR-3610	2
miR-6811-3p	2
miR-6813-5p	2
miR-5690	2
miR-3137	2
miR-4697-3p	2
miR-4784	2
miR-6834-5p	2
mir-122	2
miR-6830-3p	2
mir-623	2
mir-3913	2
mir-202	2
miR-3181	2
miR-2117	2
miR-5006-5p	2
mir-3938	2
mir-3135	2
miR-6894-5p	2
miR-2682-5p	2
miR-4727-3p	2
miR-4640-3p	2
miR-8073	2
miR-3187-5p	2
miR-6731-5p	2
miR-9898	2
miR-3159	2
miR-4802-5p	2
miR-3616-5p	2
miR-3134	2
miR-4290	2
miR-6778-3p	2
miR-6514-3p	2
miR-4804-3p	2
miR-4498	2
mir-134	2
miR-4424	2
miR-4701-5p	2
mir-223	2
miR-2113	2
miR-6861-5p	2
miR-4686	2
mir-6132	2
miR-6830-5p	2
miR-4691-5p	2
miR-5008-3p	2
miR-3942-3p	2
mir-1289	2
mir-1179	2
miR-6797-5p	2
miR-6809-5p	2
mir-3122	2
miR-6754-3p	2
miR-7856-5p	2
miR-6716-3p	2
miR-5190	2
miR-6072	2
miR-7112-5p	1
miR-6888-5p	1
miR-3085-5p	1
miR-498-3p	1
miR-3714	1
miR-4797-5p	1
miR-4268	1
miR-4772-5p	1
miR-6742-5p	1
mir-555	1
miR-4656	1
miR-4472	1
mir-567	1
miR-6499-3p	1
miR-5100	1
mir-4782	1
miR-6507-3p	1
mir-1253	1
mir-1203	1
miR-12135	1
miR-4733-5p	1
mir-635	1
miR-3133	1
miR-6868-3p	1
miR-6796-5p	1
miR-4670-5p	1
mir-607	1
miR-4439	1
miR-6868-5p	1
miR-6788-5p	1
mir-568	1
mir-329	1
miR-3682-5p	1
mir-1469	1
miR-6884-5p	1
miR-147b-5p	1
miR-4483	1
miR-2116-5p	1
miR-7161-5p	1
mir-601	1
miR-6764-5p	1
miR-6873-3p	1
miR-7113-3p	1
miR-6829-3p	1
mir-137	1
mir-4435	1
miR-7152-3p	1
miR-12116	1
miR-6888-3p	1
miR-4293	1
miR-4478	1
miR-4704-3p	1
miR-6838-5p	1
miR-3921	1
miR-4762-3p	1
miR-10395-3p	1
miR-6776-3p	1
miR-4530	1
miR-4762-5p	1
miR-6754-5p	1
miR-4330	1
miR-6730-3p	1
miR-3142	1
miR-4732-3p	1
miR-12133	1
mir-3670	1
mir-761	1
mir-4798	1
mir-485	1
miR-4265	1
miR-5688	1
miR-4490	1
miR-4521	1
mir-4662	1
miR-6736-3p	1
miR-4764-3p	1
miR-6731-3p	1
miR-7158-5p	1
miR-6877-3p	1
miR-4712-3p	1
miR-6875-5p	1
mir-1290	1
miR-5693	1
miR-4715-5p	1
miR-4299	1
miR-4752	1
miR-4724-3p	1
mir-670	1
mir-3167	1
miR-4794	1
miR-6872-5p	1
mir-6134	1
miR-6717-5p	1
miR-4445-5p	1
mir-802	1
miR-5197-3p	1
miR-4458	1
miR-3171	1
mir-3689	1
mir-563	1
miR-3184-3p	1
mir-569	1
miR-4682	1
miR-4480	1
miR-4318	1
mir-591	1
miR-6867-3p	1
miR-4479	1
mir-4477	1
miR-6772-3p	1
miR-6846-5p	1
mir-1251	1
mir-613	1
miR-6746-5p	1
miR-3197	1
miR-10392-5p	1
miR-4496	1
miR-6845-5p	1
miR-6867-5p	1
miR-4781-5p	1
miR-6755-5p	1
mir-1323	1
mir-662	1
miR-3655	1
miR-6874-3p	1
miR-5187-5p	1
miR-3941	1
miR-5579-3p	1
miR-6512-3p	1
mir-3617	1
miR-3189-3p	1
miR-1539	1
miR-10398-5p	1
miR-6852-3p	1
miR-6766-5p	1
mir-3121	1
miR-3148	1
miR-3646	1
miR-5588-3p	1
miR-3918	1
miR-6832-3p	1
miR-5003-3p	1
mir-368	1
mir-4515	1
miR-4717-5p	1
miR-4475	1
miR-7160-3p	1
mir-3165	1
miR-4713-3p	1
mir-384	1
miR-4462	1
miR-4732-5p	1
miR-6895-5p	1
miR-6860	1
miR-6767-3p	1
miR-6886-5p	1
miR-10398-3p	1
miR-3692-5p	1
miR-4448	1
miR-6836-5p	1
miR-4665-3p	1
miR-6802-5p	1
miR-6736-5p	1
miR-4493	1
mir-373	1
miR-8085	1
miR-4690-5p	1
miR-3128	1
miR-6825-3p	1
mir-1181	1
miR-6751-5p	1
miR-8057	1
miR-4464	1
miR-4639-5p	1
miR-6831-5p	1
miR-5195-3p	1
miR-6767-5p	1
miR-6823-3p	1
miR-4745-5p	1
mir-596	1
miR-7160-5p	1
mir-765	1
mir-4743	1
miR-4741	1
miR-6753-3p	1
mir-431	1
mir-7973	1
miR-4648	1
mir-4654	1
miR-6853-3p	1
miR-4781-3p	1
miR-6844	1
miR-3162-5p	1
miR-12128	1
miR-6734-5p	1
miR-3152-5p	1
miR-6857-5p	1
miR-5186	1
miR-6866-3p	1
miR-4251	1
miR-6789-3p	1
miR-6861-3p	1
miR-3662	1
miR-4418	1
mir-637	1
mir-6129	1
mir-5692	1
miR-6771-3p	1
mir-378_2	1
miR-4259	1
miR-6839-3p	1
miR-6823-5p	1
miR-6806-5p	1
miR-3929	1
miR-4764-5p	1
miR-5591-5p	1
miR-4684-3p	1
miR-3685	1
miR-5696	1
miR-5187-3p	1
mir-581	1
miR-4503	1
miR-4262	1
miR-6786-3p	1
mir-3660	1
miR-7156-3p	1
miR-4753-5p	1
miR-4668-3p	1
miR-6880-5p	1
miR-6774-3p	1
mir-3613	1
miR-4678	1
miR-8059	1
miR-6831-3p	1
miR-6887-5p	1
miR-5011-3p	1
miR-3925-5p	1
mir-363	1
miR-6841-5p	1
miR-5695	1
mir-924	1
mir-646	1
miR-4795-5p	1
miR-4531	1
miR-4801	1
miR-6854-5p	1
miR-2276-5p	1
mir-1267	1
mir-3937	1
miR-6126	1
miR-4756-3p	1
miR-4642	1
miR-4722-5p	1
miR-4640-5p	1
miR-6073	1
miR-6835-5p	1
miR-6074	1
miR-6814-5p	1
mir-3156	1
miR-6828-3p	1
miR-8087	1
miR-3975	1
miR-6797-3p	1
mir-718	1
mir-1178	1
miR-6728-5p	1
miR-5571-3p	1
miR-2054	1
miR-4691-3p	1
mir-889	1
miR-4649-5p	1
miR-12129	1
mir-1912	1
miR-5581-5p	1
mir-875	1
miR-4708-3p	1
mir-4650	1
miR-11400	1
miR-7162-3p	1
miR-4420	1
miR-6856-3p	1
miR-6744-3p	1
miR-6077	1
miR-6850-5p	1
mir-1183	1
miR-6886-3p	1
miR-4729	1
